subject_id,band_index,band,n_samples,n_correct,accuracy_pct,rank_average,is_hardest,hardest_tie_count
1,0,delta,3394,2537,74.74955804360637,4.0,False,1
1,1,theta,3394,2299,67.73718326458457,1.0,True,1
1,2,alpha,3394,2472,72.83441367118444,2.0,False,1
1,3,beta,3394,2525,74.39599292869771,3.0,False,1
1,4,gamma,3394,2554,75.25044195639363,5.0,False,1
2,0,delta,3394,2083,61.373011196228646,3.0,False,1
2,1,theta,3394,2052,60.459634649381265,2.0,False,1
2,2,alpha,3394,2012,59.281084266352394,1.0,True,1
2,3,beta,3394,2104,61.991750147318804,4.0,False,1
2,4,gamma,3394,2167,63.84796700058928,5.0,False,1
3,0,delta,3394,2292,67.53093694755451,2.0,False,1
3,1,theta,3394,2291,67.50147318797879,1.0,True,1
3,2,alpha,3394,2319,68.32645845609899,3.0,False,1
3,3,beta,3394,2348,69.18090748379493,5.0,False,1
3,4,gamma,3394,2329,68.62109605185621,4.0,False,1
4,0,delta,3394,2089,61.54979375368297,4.0,False,1
4,1,theta,3394,2056,60.57748968768415,3.0,False,1
4,2,alpha,3394,2049,60.37124337065409,2.0,False,1
4,3,beta,3394,2105,62.02121390689452,5.0,False,1
4,4,gamma,3394,2024,59.63464938126105,1.0,True,1
5,0,delta,3394,2243,66.08721272834414,3.0,False,1
5,1,theta,3394,2267,66.79434295816145,5.0,False,1
5,2,alpha,3394,2212,65.17383618149675,2.0,False,1
5,3,beta,3394,2199,64.79080730701237,1.0,True,1
5,4,gamma,3394,2259,66.5586328815557,4.0,False,1
6,0,delta,3394,2187,64.43724219210371,5.0,False,1
6,1,theta,3394,2077,61.19622863877431,1.0,True,1
6,2,alpha,3394,2107,62.08014142604596,3.5,False,1
6,3,beta,3394,2081,61.31408367707719,2.0,False,1
6,4,gamma,3394,2107,62.08014142604596,3.5,False,1
7,0,delta,3394,2229,65.67472009428403,3.0,False,1
7,1,theta,3394,2258,66.52916912197998,5.0,False,1
7,2,alpha,3394,2206,64.99705362404242,1.0,True,1
7,3,beta,3394,2256,66.47024160282852,4.0,False,1
7,4,gamma,3394,2221,65.43901001767826,2.0,False,1
8,0,delta,3394,2295,67.61932822628167,2.0,False,1
8,1,theta,3394,2310,68.0612846199175,4.0,False,1
8,2,alpha,3394,2296,67.64879198585739,3.0,False,1
8,3,beta,3394,2269,66.8532704773129,1.0,True,1
8,4,gamma,3394,2326,68.53270477312905,5.0,False,1
9,0,delta,3394,1976,58.220388921626395,5.0,False,1
9,1,theta,3394,1887,55.59811431938715,1.0,True,1
9,2,alpha,3394,1945,57.30701237477902,2.0,False,1
9,3,beta,3394,1969,58.014142604596344,4.0,False,1
9,4,gamma,3394,1948,57.395403653506186,3.0,False,1
10,0,delta,3394,2002,58.98644667059517,5.0,False,1
10,1,theta,3394,1990,58.6328815556865,3.5,False,1
10,2,alpha,3394,1990,58.6328815556865,3.5,False,1
10,3,beta,3394,1938,57.10076605774896,1.0,True,1
10,4,gamma,3394,1973,58.131997642899236,2.0,False,1
11,0,delta,3394,2461,72.5103123158515,3.0,False,1
11,1,theta,3394,2460,72.48084855627577,2.0,False,1
11,2,alpha,3394,2488,73.30583382439599,5.0,False,1
11,3,beta,3394,2481,73.09958750736594,4.0,False,1
11,4,gamma,3394,2442,71.95050088391278,1.0,True,1
12,0,delta,3394,2249,66.26399528579847,5.0,False,1
12,1,theta,3394,2175,64.08367707719505,1.0,True,1
12,2,alpha,3394,2210,65.11490866234531,3.0,False,1
12,3,beta,3394,2187,64.43724219210371,2.0,False,1
12,4,gamma,3394,2223,65.4979375368297,4.0,False,1
13,0,delta,3394,2324,68.4737772539776,4.0,False,1
13,1,theta,3394,2397,70.6246317030053,5.0,False,1
13,2,alpha,3394,2321,68.38538597525044,3.0,False,1
13,3,beta,3394,2305,67.91396582203889,1.0,True,1
13,4,gamma,3394,2318,68.29699469652327,2.0,False,1
14,0,delta,3394,2214,65.2327637006482,3.0,False,1
14,1,theta,3394,2210,65.11490866234531,2.0,False,1
14,2,alpha,3394,2208,65.05598114319388,1.0,True,1
14,3,beta,3394,2250,66.29345904537419,5.0,False,1
14,4,gamma,3394,2238,65.93989393046553,4.0,False,1
15,0,delta,3394,2560,75.42722451384797,2.0,False,1
15,1,theta,3394,2581,76.04596346493813,5.0,False,1
15,2,alpha,3394,2567,75.63347083087803,3.0,False,1
15,3,beta,3394,2559,75.39776075427224,1.0,True,1
15,4,gamma,3394,2579,75.98703594578669,4.0,False,1
