subject_id,n_samples,consensus_n_correct,consensus_accuracy_pct,mean_band_accuracy_pct,heterogeneity_pp,consensus_gain_pp,hardest_bands,hardest_tie_count,hardest_to_easiest
1,3394,2554,75.25044195639363,72.99351797289333,2.7494976757037204,2.2569239835003003,theta,1,theta|alpha|beta|delta|gamma
2,3394,2077,61.19622863877431,61.39068945197407,1.5308230802921583,-0.19446081319976116,alpha,1,alpha|theta|delta|beta|gamma
3,3394,2313,68.14967589864467,68.23217442545669,0.6458950727115944,-0.0824985268120173,theta,1,theta|delta|alpha|gamma|beta
4,3394,2067,60.90159104301709,60.83087802003536,0.8532493152342147,0.07071302298173521,gamma,1,gamma|alpha|theta|delta|beta
5,3394,2235,65.85150265173836,65.88096641131408,0.7777539635543402,-0.02946375957571945,beta,1,beta|alpha|delta|gamma|theta
6,3394,2104,61.991750147318804,62.221567472009426,1.1682520001457875,-0.22981732469062166,theta,1,theta|beta|alpha|gamma|delta
7,3394,2229,65.67472009428403,65.82203889216264,0.5948469644452558,-0.14731879787861146,alpha,1,alpha|gamma|delta|beta|theta
8,3394,2313,68.14967589864467,67.7430760164997,0.555108490327907,0.4065998821449739,beta,1,beta|delta|alpha|theta|gamma
9,3394,1962,57.807896287566294,57.30701237477901,0.9233022755446315,0.5008839127872804,theta,1,theta|alpha|gamma|beta|delta
10,3394,1975,58.190925162050675,58.29699469652328,0.657140924429025,-0.10606953447260281,beta,1,beta|gamma|theta|alpha|delta
11,3394,2465,72.6281673541544,72.66941661756039,0.4832775145271127,-0.041249263405987335,gamma,1,gamma|theta|delta|beta|alpha
12,3394,2215,65.26222746022393,65.07955215085445,0.7724676303205175,0.18267530936947196,theta,1,theta|beta|alpha|gamma|delta
13,3394,2367,69.74071891573365,68.73895109015909,0.9619815979560723,1.0017678255745608,beta,1,beta|gamma|alpha|delta|theta
14,3394,2234,65.82203889216264,65.52740129640543,0.4972309513194812,0.2946375957572087,alpha,1,alpha|theta|delta|gamma|beta
15,3394,2584,76.13435474366528,75.69829110194462,0.272854140313264,0.4360636417206649,beta,1,beta|delta|alpha|gamma|theta
