epoch,total_loss,ce_loss,ajloss,gcl_loss,align_loss,orth_loss,subject_loss,subject_shared_loss,subject_private_loss,shared_subject_acc,private_subject_acc,target_pseudo_conf_mean,target_reliability_mean,target_feature_agreement_mean,target_feature_margin_mean,target_feature_entropy_score_mean,target_scale_consistency_mean,target_align_conf_mean,target_align_coverage,target_align_count,align_active,validation_accuracy,validation_macro_f1
1,4.361486625671387,0.990042769908905,1.2939804553985597,9.844117546081543,0.0,0.0029308895114809274,2.6006116390228273,0.0,0.0,0.0,0.0,0.5185879230499267,0.23833432793617249,0.48900901079177855,0.17706768959760666,0.11032312652096152,0.6268418788909912,0.0,0.0,0.0,0.0,0.6924965625613828,0.6871911587868716
2,3.736936664581299,0.4601112246513367,1.2786289215087892,9.608975601196288,0.0,0.0025117425713688133,2.470399522781372,0.0,0.0,0.0,0.0,0.7482353329658509,0.5534449994564057,0.7076491832733154,0.4763274252414703,0.41693115830421446,0.7917726397514343,0.0,0.0,0.0,0.0,0.699469652327637,0.6975863065474309
3,3.4448678970336912,0.22177306115627288,1.2648505210876464,9.462554740905762,0.0,0.0020308059873059394,2.413882541656494,0.0,0.0,0.0,0.0,0.8749017238616943,0.6947713136672974,0.8059872150421142,0.6380542516708374,0.5900978922843934,0.8370593428611756,0.0,0.0,0.0,0.0,0.7272637988607347,0.7262916277549504
4,3.2853115081787108,0.11032291948795318,1.252765989303589,9.311963653564453,0.0,0.001932981377467513,2.3819119930267334,0.0,0.0,0.0,0.0,0.913292133808136,0.7016456007957459,0.8108152747154236,0.6438111186027526,0.611495578289032,0.8269591093063354,0.0,0.0,0.0,0.0,0.7414064034570811,0.7393089130770735
5,3.1994245529174803,0.06002148687839508,1.2418222188949586,9.198763847351074,0.0,0.0016823262674733996,2.3620258808135985,0.0,0.0,0.0,0.0,0.9311409831047058,0.6967982411384582,0.8073428988456726,0.6354886531829834,0.61244136095047,0.8174725651741028,0.0,0.0,0.0,0.0,0.7523079945000982,0.751607319066505
6,3.156097650527954,0.03946419209241867,1.2322193145751954,9.12711410522461,0.0,0.0013442981988191604,2.350955677032471,0.0,0.0,0.0,0.0,0.941653037071228,0.7029821395874023,0.8111955642700195,0.6414661765098572,0.6241607546806336,0.8184317350387573,0.0,0.0,0.0,0.0,0.7645845609899823,0.7628590222508422
7,3.13450288772583,0.029949438571929932,1.2235881090164185,9.09165916442871,0.0,0.001084041455760598,2.3455159664154053,0.0,0.0,0.0,0.0,0.9495323777198792,0.7155033111572265,0.8193920016288757,0.6565500855445862,0.639780068397522,0.8259177446365357,0.0,0.0,0.0,0.0,0.7646827735219014,0.7633943498797952
8,3.118791437149048,0.021618765965104102,1.2164258241653443,9.072382545471191,0.0,0.000921208004001528,2.3413250923156737,0.0,0.0,0.0,0.0,0.9516089677810669,0.7151892423629761,0.8182323813438416,0.6536600232124329,0.6413702964782715,0.8271174669265747,0.0,0.0,0.0,0.0,0.7616381850324101,0.7602643188507955
9,3.1058013439178467,0.016479343920946122,1.2099176883697509,9.048102951049804,0.0,0.0008114443160593509,2.3396276473999023,0.0,0.0,0.0,0.0,0.9519794583320618,0.7106552124023438,0.81497802734375,0.6482394337654114,0.6370578408241272,0.8236209750175476,0.0,0.0,0.0,0.0,0.7781378903948144,0.7775513652612608
10,3.093363857269287,0.012689994648098946,1.2044841527938843,9.01980152130127,0.0,0.0007156679173931479,2.3378756046295166,0.0,0.0,0.0,0.0,0.9534055352210998,0.7067603826522827,0.8121817350387573,0.6429055213928223,0.6346144914627075,0.8200790405273437,0.0,0.0,0.0,0.0,0.7622274602239246,0.7612407732989107
11,3.0843238830566406,0.009512967057526111,1.1996999263763428,9.001957893371582,0.0,0.0006359100458212197,2.3362541675567625,0.0,0.0,0.0,0.0,0.9561242580413818,0.7029598951339722,0.8099387049674988,0.638023042678833,0.6301294445991517,0.8166779994964599,0.0,0.0,0.0,0.0,0.7863877430760166,0.7850079322340608
12,3.0754980087280273,0.008963331487029791,1.1957500457763672,8.974366378784179,0.0,0.0005638972506858408,2.3340445518493653,0.0,0.0,0.0,0.0,0.9565397024154663,0.7058115482330323,0.8121556282043457,0.6421362638473511,0.6336987614631653,0.8173421859741211,0.0,0.0,0.0,0.0,0.7792182282459241,0.7772856726366985
13,3.068743085861206,0.007575229182839394,1.1925145626068114,8.958546829223632,0.0,0.000534205895382911,2.3310444355010986,0.0,0.0,0.0,0.0,0.9597246527671814,0.724222207069397,0.8247281432151794,0.6659930348396301,0.6540740489959717,0.8290991067886353,0.0,0.0,0.0,0.0,0.766843449224121,0.7650369128061643
14,3.062670040130615,0.007683668844401836,1.1898414850234986,8.937629508972169,0.0,0.0005075703840702773,2.3294278621673583,0.0,0.0,0.0,0.0,0.9600495219230651,0.7325136303901673,0.8296711325645447,0.675394082069397,0.6638293504714966,0.8345383524894714,0.0,0.0,0.0,0.0,0.7626203103516008,0.7616753047211695
15,3.0566789627075197,0.005789925390854478,1.1874738931655884,8.924337005615234,0.0,0.00048529303749091925,2.32826943397522,0.0,0.0,0.0,0.0,0.961461341381073,0.7373569488525391,0.8327936887741089,0.6801470875740051,0.6692621827125549,0.8378064632415771,0.0,0.0,0.0,0.0,0.7609506973089766,0.759121815044914
16,3.056463098526001,0.007030063029378653,1.1854842901229858,8.911503028869628,0.011123136430978776,0.00047138291411101817,2.3280001640319825,0.0,0.0,0.0,0.0,0.9615759730339051,0.7386165142059327,0.8340618014335632,0.6826080083847046,0.6715181350708008,0.837551474571228,0.987057888507843,0.4162026584148407,2121.2,1.0,0.7846199175014732,0.7837745526283048
17,3.0490529537200928,0.0057898926548659805,1.1836947679519654,8.887813758850097,0.010367000475525856,0.00044169009779579935,2.3291054248809813,0.0,0.0,0.0,0.0,0.963444185256958,0.7609899997711181,0.8483937859535218,0.7082785844802857,0.6979611396789551,0.8542389869689941,0.9866461873054504,0.4524132192134857,2306.0,1.0,0.7847181300333923,0.7834907205696527
18,3.042000913619995,0.005271236784756184,1.1823477506637574,8.862980079650878,0.01024740282446146,0.0004623135551810265,2.328938055038452,0.0,0.0,0.0,0.0,0.9625969409942627,0.78104647397995,0.8612540245056153,0.7323047399520874,0.7217605829238891,0.8688473701477051,0.9852451205253601,0.4874462902545929,2484.4,1.0,0.7733254763307799,0.7717967986664238
19,3.0364428043365477,0.005253973510116338,1.1812272787094116,8.84010066986084,0.01158875711262226,0.0004523415584117174,2.329497146606445,0.0,0.0,0.0,0.0,0.963644015789032,0.7970069169998169,0.8713562250137329,0.7507883191108704,0.7369697451591491,0.8838309288024903,0.9832377672195435,0.49451513290405275,2520.4,1.0,0.7697898251816931,0.7687445730320439
20,3.033043956756592,0.0037219606805592776,1.1805569171905517,8.80578556060791,0.0457240354269743,0.0004832733829971403,2.3295114517211912,0.0,0.0,0.0,0.0,0.9636185050010682,0.7958380341529846,0.8696413516998291,0.7467197060585022,0.7268379211425782,0.8952449321746826,0.9875376701354981,0.3796124517917633,1934.8,1.0,0.7963072087998428,0.7962190405756564
21,3.0285794258117678,0.007551852427423,1.1798710107803345,8.804025077819825,0.002175021986477077,0.0005807571345940232,2.3332866191864015,0.0,0.0,0.0,0.0,0.9684724569320678,0.7695448994636536,0.8493021488189697,0.7076381206512451,0.6787258267402649,0.9105550646781921,0.9978585600852966,0.26993505358695985,1375.8,1.0,0.7868788057356119,0.78616733422264
22,3.022107982635498,0.006829181592911482,1.1792097568511963,8.781015396118164,0.0021045854547992347,0.0005546573898755014,2.33393874168396,0.0,0.0,0.0,0.0,0.9735401630401611,0.7855450987815857,0.8605540990829468,0.7298797130584717,0.6948232293128968,0.9187187790870667,0.9976149678230286,0.26636514663696287,1357.6,1.0,0.7803967786289531,0.7800205979650808
23,3.015313482284546,0.004784117732197046,1.179019284248352,8.759510040283203,0.0018204843625426292,0.0005400090827606619,2.33685564994812,0.0,0.0,0.0,0.0,0.9713115692138672,0.7927254557609558,0.8663681149482727,0.7410777091979981,0.7056966543197631,0.9146001815795899,0.9972369551658631,0.26197404265403745,1335.2,1.0,0.7756825770968375,0.7754349542552924
24,3.026628589630127,0.005873940465971827,1.1784849405288695,8.759619331359863,0.053282465972006324,0.0005489396280609071,2.336888074874878,0.0,0.0,0.0,0.0,0.9692245125770569,0.8031664729118347,0.8730958580970765,0.7537269473075867,0.718457555770874,0.9210965037345886,0.9973137021064759,0.27380167245864867,1395.4,1.0,0.7832449420546062,0.7816626964942744
25,3.0364758014678954,0.012901859544217586,1.1785507678985596,8.773593521118164,0.04958702737931162,0.0005695277126505971,2.337053155899048,0.0,0.0,0.0,0.0,0.9675902962684632,0.7973319172859192,0.8693975329399108,0.7471903085708618,0.7141430497169494,0.9155479311943054,0.9974942088127137,0.2789219915866852,1421.6,1.0,0.7909055195442939,0.7899556147382173
26,3.0589925765991213,0.03625027313828468,1.1782023191452027,8.803471755981445,0.002564543904736638,0.0006721072364598513,2.3415398597717285,0.0,0.0,0.0,0.0,0.9628677248954773,0.7307422995567322,0.8263975858688355,0.67029709815979,0.6346103191375733,0.8709961175918579,0.9970060229301453,0.21385470032691956,1090.0,1.0,0.8136908269495188,0.8120502578079195
27,3.0428088188171385,0.02478150688111782,1.178280806541443,8.782679748535156,0.003178175259381533,0.0006773307686671615,2.3429073810577394,0.0,0.0,0.0,0.0,0.9613506674766541,0.7003080725669861,0.8067589521408081,0.63479585647583,0.6040409207344055,0.8438076496124267,0.9962356090545654,0.19143665432929993,975.6,1.0,0.7879591435867217,0.7868824732375238
28,3.0241872787475588,0.014762049540877342,1.1781219482421874,8.750544548034668,0.0028922206722199915,0.0006518180947750807,2.3410411834716798,0.0,0.0,0.0,0.0,0.9596402049064636,0.7063238620758057,0.8118782997131347,0.6424306035041809,0.6155658721923828,0.8396827936172485,0.9963748693466187,0.19263965785503387,982.0,1.0,0.7866823806717738,0.7849476977462991
29,3.019280481338501,0.012878646515309811,1.1780786037445068,8.725443458557129,0.020787644013762475,0.0005467326496727765,2.339977169036865,0.0,0.0,0.0,0.0,0.961350929737091,0.7279791474342346,0.8266898989677429,0.6688266634941101,0.6423882007598877,0.8496539950370788,0.9961189031600952,0.20177018642425537,1028.4,1.0,0.7637988607346298,0.7625705853079165
30,3.0031564712524412,0.007296116277575493,1.1779217004776001,8.699114036560058,0.002252296218648553,0.0005111999344080687,2.3391659259796143,0.0,0.0,0.0,0.0,0.965691602230072,0.7474045395851135,0.8382152318954468,0.6902286648750305,0.6615189194679261,0.8676543474197388,0.9963284492492676,0.2171821713447571,1107.0,1.0,0.7794146533097623,0.7786283491291005
31,3.0004336833953857,0.005763454176485538,1.1777014017105103,8.681489753723145,0.02008241438306868,0.0004577918327413499,2.338048553466797,0.0,0.0,0.0,0.0,0.9694625020027161,0.772037124633789,0.8540743470191956,0.7184593319892884,0.6918804049491882,0.883613109588623,0.9966752409934998,0.23984476625919343,1222.4,1.0,0.7693969750540169,0.7683151215293066
32,2.9912670612335206,0.0052452427335083485,1.177976393699646,8.661785316467284,0.0014252970227971672,0.0005016692040953786,2.3377765655517577,0.0,0.0,0.0,0.0,0.9718818187713623,0.7845057845115662,0.8619489073753357,0.733530604839325,0.7029026985168457,0.895701003074646,0.9973105430603028,0.2558674305677414,1304.2,1.0,0.7565311333726183,0.7545945628748644
33,2.9880099296569824,0.004255142435431481,1.177934956550598,8.654231643676757,0.0012258043047040702,0.0005012129084207117,2.336456537246704,0.0,0.0,0.0,0.0,0.9734838008880615,0.7968159437179565,0.8701052188873291,0.7478724956512451,0.7190804600715637,0.901832926273346,0.9975968480110169,0.26660444736480715,1358.8,1.0,0.7684148497348262,0.7672472000593847
34,2.985979604721069,0.003993596090003848,1.1778988599777223,8.647775077819825,0.0011456413194537163,0.0005048671097029001,2.3359240531921386,0.0,0.0,0.0,0.0,0.9754802703857421,0.8078428149223328,0.877278745174408,0.761097538471222,0.7330448627471924,0.9075387001037598,0.9976534128189087,0.2752964675426483,1403.2,1.0,0.7618346100962483,0.760253872227432
35,2.978547525405884,0.001425276999361813,1.1776151180267334,8.630194664001465,0.0011017422075383365,0.0005031758337281644,2.3343141078948975,0.0,0.0,0.0,0.0,0.9775167822837829,0.8221670389175415,0.8868237972259522,0.7795904636383056,0.749433720111847,0.9156936526298523,0.9976926445960999,0.28724307417869566,1464.0,1.0,0.7636024356707916,0.7621248981869234
36,2.9808322906494142,0.002832420775666833,1.177860164642334,8.61938247680664,0.020356101635843515,0.0004627889080438763,2.3331181049346923,0.0,0.0,0.0,0.0,0.9783619046211243,0.8328486919403076,0.8938552618026734,0.7929957866668701,0.7631528973579407,0.9215911149978637,0.9977322101593018,0.29846239686012266,1521.2,1.0,0.7631113730111962,0.7616331155455597
37,2.986123037338257,0.004510329710319639,1.1779056787490845,8.62410945892334,0.035689509776420894,0.00047604507999494673,2.3305126667022704,0.0,0.0,0.0,0.0,0.9791378736495971,0.8375452160835266,0.8968538284301758,0.7991673827171326,0.7668572068214417,0.9268141150474548,0.9977301716804504,0.3067843794822693,1563.6,1.0,0.7624238852877627,0.7612855216628578
38,3.0073883056640627,0.019622437097132205,1.1778787612915038,8.673894882202148,0.0013931056950241328,0.000579126924276352,2.3325926303863525,0.0,0.0,0.0,0.0,0.9719980359077454,0.7948505640029907,0.8684751152992248,0.7462294220924377,0.7156090021133423,0.9044760227203369,0.9975911736488342,0.2680214434862137,1366.0,1.0,0.7537811824788843,0.7524510399976405
39,3.0098708152770994,0.01866675801575184,1.1779624462127685,8.684639930725098,0.0021172878332436085,0.0006329539930447936,2.3348466873168947,0.0,0.0,0.0,0.0,0.9680889129638672,0.7664809823036194,0.8499563217163086,0.7133335947990418,0.6802332878112793,0.8872222542762757,0.9971390008926392,0.23207324743270874,1182.8,1.0,0.7910037320762129,0.7900905992186275
40,2.9972360610961912,0.01349081750959158,1.1778968095779419,8.653089714050292,0.002384853363037109,0.0006403919425792993,2.3363851070404054,0.0,0.0,0.0,0.0,0.9675670027732849,0.7586416363716125,0.8450696587562561,0.7064281940460205,0.6690980911254882,0.8817974686622619,0.9968207240104675,0.22162353694438935,1129.6,1.0,0.7717540758200746,0.7716831728603869
41,2.994522714614868,0.014337888732552529,1.177704668045044,8.640391540527343,0.002324951742775738,0.0006321926135569811,2.335059928894043,0.0,0.0,0.0,0.0,0.9683343052864075,0.7663298964500427,0.8502286314964295,0.7150779604911804,0.6776936650276184,0.8870917916297912,0.9966164827346802,0.22649056017398833,1154.4,1.0,0.786977018267531,0.7862058578400991
42,2.9800392150878907,0.006725671235471964,1.1777400493621826,8.616190719604493,0.0018616360379382969,0.0006100926082581281,2.3321619987487794,0.0,0.0,0.0,0.0,0.9702974438667298,0.7854647278785706,0.8628405213356019,0.7374091386795044,0.70265132188797,0.8963563561439514,0.9967846870422363,0.24192134737968446,1233.0,1.0,0.7821646042034963,0.7819020657685639
43,2.9732937812805176,0.003561048116534948,1.177967619895935,8.604540061950683,0.0017500462708994746,0.0006374169024638832,2.329342412948608,0.0,0.0,0.0,0.0,0.9727391958236694,0.8002922892570495,0.8726772785186767,0.7554502129554749,0.7212099194526672,0.9040717840194702,0.996820080280304,0.247174072265625,1259.8,1.0,0.7875662934590454,0.786888799625367
44,2.97377290725708,0.0036552834790199995,1.17783522605896,8.59236125946045,0.023777537210844458,0.0006156616494990885,2.3255876541137694,0.0,0.0,0.0,0.0,0.9762645602226258,0.8151344895362854,0.882374358177185,0.773401427268982,0.7381747007369995,0.9134947419166565,0.9967015027999878,0.2600241661071777,1325.4,1.0,0.7855038302887448,0.7847334392809976
45,2.965585231781006,0.002900273958221078,1.1779410600662232,8.583913230895996,0.0017182710114866495,0.0007174432394094765,2.321663761138916,0.0,0.0,0.0,0.0,0.9782361268997193,0.8269034504890442,0.8902708530426026,0.7884962081909179,0.7491017580032349,0.9233521223068237,0.9965718746185303,0.2649320483207703,1350.4,1.0,0.7818699666077391,0.7807294705102694
46,2.963198661804199,0.004176119435578584,1.1777197122573853,8.574443244934082,0.0015499095898121595,0.0008677124045789242,2.3164955615997314,0.0,0.0,0.0,0.0,0.9802544355392456,0.8321959018707276,0.8936157464981079,0.7945389747619629,0.7538733959197998,0.9281061291694641,0.9967967748641968,0.2774219512939453,1414.0,1.0,0.783146729522687,0.7816412796877693
47,2.9592042446136473,0.004032938065938652,1.1780553817749024,8.566374588012696,0.0013433162355795502,0.0009348058025352657,2.3089221000671385,0.0,0.0,0.0,0.0,0.9799097299575805,0.8387016296386719,0.8976804852485657,0.8019272089004517,0.7636056065559387,0.931498396396637,0.9971357822418213,0.2920230209827423,1488.4,1.0,0.7918876448634846,0.7907049594452088
48,2.9542619228363036,0.0031930593308061362,1.1780325651168824,8.561011123657227,0.001255252561531961,0.0010594310821034013,2.2977150440216065,0.0,0.0,0.0,0.0,0.9776296854019165,0.8364577651023865,0.8960479855537414,0.7987599730491638,0.7612417817115784,0.9307814478874207,0.9972314715385437,0.2931319892406464,1494.0,1.0,0.7917894323315655,0.7909111628687594
49,2.950092077255249,0.0025493170134723185,1.1779513120651246,8.557549476623535,0.0013263767352327705,0.0011888754554092884,2.28682165145874,0.0,0.0,0.0,0.0,0.9777307271957397,0.8374569058418274,0.8968340039253235,0.7998268365859985,0.7636725664138794,0.929661750793457,0.9970349907875061,0.29423379302024844,1499.6,1.0,0.7804949911608722,0.7799111933593089
50,2.9430935382843018,0.001472697127610445,1.178118634223938,8.549215126037598,0.0013715184293687343,0.0012961861910298466,2.2710837841033937,0.0,0.0,0.0,0.0,0.9779789209365845,0.8409207463264465,0.8991509437561035,0.8044322490692138,0.7677173614501953,0.9315626740455627,0.9969541668891907,0.29705166816711426,1514.0,1.0,0.7807896287566294,0.7796025873142461
51,2.937369775772095,0.0017137463903054595,1.1778671503067017,8.542469215393066,0.0013150276616215705,0.0015222900547087193,2.253764343261719,0.0,0.0,0.0,0.0,0.9784083247184754,0.8414477467536926,0.8995279908180237,0.8053499221801758,0.7697424769401551,0.9312474131584167,0.9970054268836975,0.30399259328842165,1549.4,1.0,0.7747986643095659,0.7733578681996708
52,2.930806875228882,0.0009302804362960159,1.1779407262802124,8.540303039550782,0.0012202753452584148,0.0016229050233960152,2.2326286315917967,0.0,0.0,0.0,0.0,0.9789412975311279,0.8413431167602539,0.8995216846466064,0.8050889492034912,0.7715393900871277,0.9299737215042114,0.9972473025321961,0.3087562918663025,1573.6,1.0,0.7578078962875663,0.7571370950580242
53,2.9274755477905274,0.001280838716775179,1.1780420541763306,8.535815620422364,0.01648392390925437,0.0018542422214522958,2.209633779525757,0.0,0.0,0.0,0.0,0.979500663280487,0.844203519821167,0.9014432907104493,0.8084051728248596,0.775517201423645,0.9307664513587952,0.9972986817359925,0.3119252800941467,1589.8,1.0,0.7431742290316244,0.7424675005328125
54,2.918076515197754,0.001261515961959958,1.1779383897781373,8.534849548339844,0.0014446798712015152,0.0021371304523199798,2.1846296310424806,0.0,0.0,0.0,0.0,0.9789534449577332,0.8406278371810914,0.8989340662956238,0.8032993674278259,0.7714263677597046,0.9297351121902466,0.9970266938209533,0.3164295554161072,1612.8,1.0,0.7441563543508152,0.7433781081478906
55,2.9114729881286623,0.001461866358295083,1.1779662132263184,8.524569702148437,0.017591847036965192,0.002148901158943772,2.154731035232544,0.0,0.0,0.0,0.0,0.9776760816574097,0.8341353893280029,0.8946129083633423,0.7945573806762696,0.7642144560813904,0.9264196157455444,0.9963042736053467,0.32015974521636964,1631.8,1.0,0.7820663916715773,0.7818377129045392
56,2.9126102924346924,0.0055225323885679245,1.1777799129486084,8.52949161529541,0.003062443528324366,0.002424495853483677,2.1493362903594972,0.0,0.0,0.0,0.0,0.9799076437950134,0.8459595084190369,0.9027266025543212,0.8107200264930725,0.7739833354949951,0.9349127411842346,0.9947657704353332,0.3184985160827637,1623.4,1.0,0.7840306423099588,0.783586126439324
57,2.9210370063781737,0.008051931113004684,1.1777931451797485,8.54039649963379,0.03502700682729483,0.002734233671799302,2.135818862915039,0.0,0.0,0.0,0.0,0.9782356739044189,0.8318363904953003,0.8933103442192077,0.7930483937263488,0.752268123626709,0.9316736578941345,0.9923567295074462,0.31424652934074404,1601.6,1.0,0.7618346100962483,0.7608325708687728
58,2.908320665359497,0.00700865089893341,1.1778671264648437,8.537091636657715,0.003561227349564433,0.002684606146067381,2.117644929885864,0.0,0.0,0.0,0.0,0.9731050133705139,0.8004971146583557,0.8715283751487732,0.7509945750236511,0.714661705493927,0.9204981684684753,0.9926359295845032,0.302735424041748,1543.0,1.0,0.7585935965429189,0.7579999691048176
59,2.8964967250823976,0.004202634934335947,1.177802610397339,8.520549201965332,0.0033248293679207564,0.0027741275262087584,2.0981768131256104,0.0,0.0,0.0,0.0,0.9725129961967468,0.7895514965057373,0.8643883466720581,0.737537395954132,0.7003313779830933,0.9153854370117187,0.993092167377472,0.28134162425994874,1434.0,1.0,0.7271655863288156,0.7260586146892377
