epoch,total_loss,ce_loss,ajloss,gcl_loss,align_loss,orth_loss,subject_loss,subject_shared_loss,subject_private_loss,shared_subject_acc,private_subject_acc,target_pseudo_conf_mean,target_reliability_mean,target_feature_agreement_mean,target_feature_margin_mean,target_feature_entropy_score_mean,target_scale_consistency_mean,target_align_conf_mean,target_align_coverage,target_align_count,align_active,validation_accuracy,validation_macro_f1
1,4.361486625671387,0.990042769908905,1.2939804553985597,9.844117546081543,0.0,0.0029308895114809274,2.6006116390228273,0.0,0.0,0.0,0.0,0.5185879230499267,0.4371959865093231,0.6107032358646393,0.34130065739154813,0.2716189853847027,0.9999999761581421,0.0,0.0,0.0,0.0,0.6924965625613828,0.6871911587868716
2,3.736936664581299,0.4601112246513367,1.2786289215087892,9.608975601196288,0.0,0.0025117425713688133,2.470399522781372,0.0,0.0,0.0,0.0,0.7482353329658509,0.7704818725585938,0.8416966438293457,0.6959721684455872,0.6707961916923523,0.9999999761581421,0.0,0.0,0.0,0.0,0.699469652327637,0.6975863065474309
3,3.4448678970336912,0.22177306115627288,1.2648505210876464,9.462554740905762,0.0,0.0020308059873059394,2.413882541656494,0.0,0.0,0.0,0.0,0.8749017238616943,0.8988866686820984,0.9326940059661866,0.8682512521743775,0.8382739067077637,0.9999999761581421,0.0,0.0,0.0,0.0,0.7272637988607347,0.7262916277549504
4,3.2853115081787108,0.11032291948795318,1.252765989303589,9.311963653564453,0.0,0.001932981377467513,2.3819119930267334,0.0,0.0,0.0,0.0,0.913292133808136,0.9153714656829834,0.9438552618026733,0.8897896528244018,0.8643918991088867,0.9999999761581421,0.0,0.0,0.0,0.0,0.7414064034570811,0.7393089130770735
5,3.1994245529174803,0.06002148687839508,1.2418222188949586,9.198763847351074,0.0,0.0016823262674733996,2.3620258808135985,0.0,0.0,0.0,0.0,0.9311409831047058,0.9201523780822753,0.9472023487091065,0.8964663743972778,0.8710880637168884,0.9999999761581421,0.0,0.0,0.0,0.0,0.7523079945000982,0.751607319066505
6,3.156097650527954,0.03946419209241867,1.2322193145751954,9.12711410522461,0.0,0.0013442981988191604,2.350955677032471,0.0,0.0,0.0,0.0,0.941653037071228,0.9253818273544312,0.9508023142814637,0.9035153746604919,0.8786424398422241,0.9999999761581421,0.0,0.0,0.0,0.0,0.7645845609899823,0.7628590222508422
7,3.13450288772583,0.029949438571929932,1.2235881090164185,9.09165916442871,0.0,0.001084041455760598,2.3455159664154053,0.0,0.0,0.0,0.0,0.9495323777198792,0.9299271464347839,0.9539812445640564,0.9097837328910827,0.885935616493225,0.9999999761581421,0.0,0.0,0.0,0.0,0.7646827735219014,0.7633943498797952
8,3.118791437149048,0.021618765965104102,1.2164258241653443,9.072382545471191,0.0,0.000921208004001528,2.3413250923156737,0.0,0.0,0.0,0.0,0.9516089677810669,0.9294875741004944,0.9535922765731811,0.908888041973114,0.8846184611320496,0.9999999761581421,0.0,0.0,0.0,0.0,0.7616381850324101,0.7602643188507955
9,3.1058013439178467,0.016479343920946122,1.2099176883697509,9.048102951049804,0.0,0.0008114443160593509,2.3396276473999023,0.0,0.0,0.0,0.0,0.9519794583320618,0.9291704416275024,0.9533448338508606,0.9085137128829956,0.8852638602256775,0.9999999761581421,0.0,0.0,0.0,0.0,0.7781378903948144,0.7775513652612608
10,3.093363857269287,0.012689994648098946,1.2044841527938843,9.01980152130127,0.0,0.0007156679173931479,2.3378756046295166,0.0,0.0,0.0,0.0,0.9534055352210998,0.9286546349525452,0.9529041290283203,0.9076306700706482,0.8843650817871094,0.9999999761581421,0.0,0.0,0.0,0.0,0.7622274602239246,0.7612407732989107
11,3.0843238830566406,0.009512967057526111,1.1996999263763428,9.001957893371582,0.0,0.0006359100458212197,2.3362541675567625,0.0,0.0,0.0,0.0,0.9561242580413818,0.9298546433448791,0.9537600159645081,0.9092394590377808,0.8859856843948364,0.9999999761581421,0.0,0.0,0.0,0.0,0.7863877430760166,0.7850079322340608
12,3.0754980087280273,0.008963331487029791,1.1957500457763672,8.974366378784179,0.0,0.0005638972506858408,2.3340445518493653,0.0,0.0,0.0,0.0,0.9565397024154663,0.9333933115005493,0.9562802195549012,0.914100706577301,0.8907541513442994,0.9999999761581421,0.0,0.0,0.0,0.0,0.7792182282459241,0.7772856726366985
13,3.068743085861206,0.007575229182839394,1.1925145626068114,8.958546829223632,0.0,0.000534205895382911,2.3310444355010986,0.0,0.0,0.0,0.0,0.9597246527671814,0.9337470531463623,0.9564924597740173,0.9146045327186585,0.8913183569908142,0.9999999761581421,0.0,0.0,0.0,0.0,0.766843449224121,0.7650369128061643
14,3.062670040130615,0.007683668844401836,1.1898414850234986,8.937629508972169,0.0,0.0005075703840702773,2.3294278621673583,0.0,0.0,0.0,0.0,0.9600495219230651,0.9346700787544251,0.9571296095848083,0.9158843398094177,0.892809522151947,0.9999999761581421,0.0,0.0,0.0,0.0,0.7626203103516008,0.7616753047211695
15,3.0566789627075197,0.005789925390854478,1.1874738931655884,8.924337005615234,0.0,0.00048529303749091925,2.32826943397522,0.0,0.0,0.0,0.0,0.961461341381073,0.9366577982902526,0.9585104703903198,0.9185919880867004,0.8958970546722412,0.9999999761581421,0.0,0.0,0.0,0.0,0.7609506973089766,0.759121815044914
16,3.055301332473755,0.006959649175405503,1.1854843854904176,8.911738967895507,0.005894099548459053,0.0004716611874755472,2.32758150100708,0.0,0.0,0.0,0.0,0.9617023468017578,0.9380164742469788,0.9594152808189392,0.9203343749046325,0.8976796746253968,0.9999999761581421,0.9884813070297241,0.7878658413887024,4015.6,1.0,0.7839324297780397,0.783159960680969
17,3.0477431297302244,0.005722527205944061,1.1836957216262818,8.888241386413574,0.005561470240354538,0.0004427036561537534,2.327550172805786,0.0,0.0,0.0,0.0,0.9650378823280334,0.9464460253715515,0.9652359247207641,0.9317078351974487,0.9094286680221557,0.9999999761581421,0.9891692996025085,0.8144046902656555,4151.0,1.0,0.7828520919269298,0.7816275574900665
18,3.04063138961792,0.0047201432287693025,1.1823495626449585,8.865763854980468,0.0054564795456826685,0.00047961337259039283,2.3266773223876953,0.0,0.0,0.0,0.0,0.9655222654342651,0.9467756152153015,0.965382182598114,0.9318963766098023,0.911194097995758,0.9999999761581421,0.9894002795219421,0.8212818264961242,4186.0,1.0,0.7760754272245138,0.7744019658402791
19,3.0359275341033936,0.005234322883188725,1.1812301397323608,8.844724655151367,0.005067186523228883,0.00047040507197380064,2.3280694484710693,0.0,0.0,0.0,0.0,0.9671467542648315,0.9501058220863342,0.9675913333892823,0.9361455559730529,0.9168587446212768,0.9999999761581421,0.9899972558021546,0.8356264472007752,4259.0,1.0,0.7686112747986643,0.7678166750071905
20,3.0252878665924072,0.0032585714478045704,1.1805589199066162,8.8117919921875,0.0048423617146909235,0.0004608802846632898,2.3270825386047362,0.0,0.0,0.0,0.0,0.9666369795799256,0.9512061357498169,0.9682373642921448,0.937445092201233,0.9190911293029785,0.9999999761581421,0.9903167843818664,0.8395285606384277,4278.8,1.0,0.7632095855431154,0.7627392151877278
21,3.0190523624420167,0.002966280281543732,1.1798699617385864,8.790497207641602,0.004718223866075277,0.0004475702124182135,2.3252813816070557,0.0,0.0,0.0,0.0,0.9689640760421753,0.9552720069885254,0.9710353732109069,0.9429872870445252,0.9250622749328613,0.9999999761581421,0.9905036211013794,0.8574485898017883,4370.2,1.0,0.7704773129051267,0.7699622776264198
22,3.0122684478759765,0.00224308748729527,1.1792201280593873,8.767266845703125,0.004657860100269318,0.0004497402173001319,2.3248327732086183,0.0,0.0,0.0,0.0,0.9717228055000305,0.9593257904052734,0.9738464474678039,0.9485315442085266,0.9306810975074769,0.9999999761581421,0.9906630516052246,0.8707279324531555,4438.0,1.0,0.762816735415439,0.7621594793275408
23,3.007218837738037,0.001702715689316392,1.1790329456329345,8.749944496154786,0.004621739219874144,0.00044948970898985865,2.32429723739624,0.0,0.0,0.0,0.0,0.9727145195007324,0.9610330939292908,0.9751058697700501,0.9510311365127564,0.932490062713623,0.9999999761581421,0.9905936002731324,0.8751302242279053,4460.4,1.0,0.7569239835002947,0.7561712610956762
24,3.0037484169006348,0.0018519406206905843,1.1784945011138916,8.737638854980469,0.004714891500771046,0.00044921120861545204,2.322481155395508,0.0,0.0,0.0,0.0,0.9752777099609375,0.962546455860138,0.9761711955070496,0.9531845927238465,0.9345319271087646,0.9999999761581421,0.9904374241828918,0.8818937420845032,4494.8,1.0,0.7644863484580633,0.7638639275787414
25,3.0002337455749513,0.001927972212433815,1.1785553693771362,8.72105712890625,0.004834615625441074,0.0004535712418146431,2.3245468139648438,0.0,0.0,0.0,0.0,0.9749520897865296,0.9628328323364258,0.9764774322509766,0.9538521647453309,0.9346527814865112,0.9999999761581421,0.9900254964828491,0.8861214280128479,4516.4,1.0,0.7535847574150462,0.7529301778382796
26,2.9960339069366455,0.0019509706180542707,1.1781762838363647,8.704559135437012,0.004763802979141474,0.00047509254654869436,2.324470806121826,0.0,0.0,0.0,0.0,0.9766028761863709,0.9646667242050171,0.9778165936470031,0.9566089034080505,0.9367544651031494,0.9999999761581421,0.9901237487792969,0.8888899445533752,4530.6,1.0,0.7661559615006874,0.7654028167442792
27,2.9933559894561768,0.0011126615921966732,1.1782352685928346,8.697324562072755,0.0046111663803458216,0.0004640164086595178,2.3244435787200928,0.0,0.0,0.0,0.0,0.9772473335266113,0.9656050562858581,0.9784005165100098,0.9578635573387146,0.9384879231452942,0.9999999761581421,0.9903691172599792,0.893243670463562,4552.6,1.0,0.7676291494794736,0.7670103538669287
28,2.9915895462036133,0.0015955919632688164,1.178063154220581,8.690312576293945,0.00448598088696599,0.00046919596497900783,2.3226856708526613,0.0,0.0,0.0,0.0,0.9784867167472839,0.9672939777374268,0.9795010089874268,0.9599368453025818,0.9413678407669067,0.9999999761581421,0.9905614137649537,0.9027977466583252,4601.4,1.0,0.7692987625220978,0.768662110811127
29,2.9889347076416017,0.0013146235840395093,1.178011703491211,8.682643699645997,0.004456030949950218,0.00046993718715384605,2.320923185348511,0.0,0.0,0.0,0.0,0.9795130252838135,0.969285762310028,0.9809129357337951,0.9627568125724792,0.9438625335693359,0.9999999761581421,0.9905610084533691,0.9089259624481201,4632.6,1.0,0.7531919072873698,0.7526350121045661
30,2.9856429576873778,0.001582114107441157,1.1778566360473632,8.6687801361084,0.004497683700174093,0.00045741820940747857,2.320665121078491,0.0,0.0,0.0,0.0,0.97945716381073,0.9692424297332763,0.9809576153755188,0.9628124237060547,0.9439587473869324,0.9999999761581421,0.9903887033462524,0.9100188136100769,4638.2,1.0,0.7521115694362601,0.7513902058214098
31,2.9822259902954102,0.0007257460500113666,1.1776424646377563,8.659204864501953,0.004448002390563488,0.0004682052356656641,2.320187520980835,0.0,0.0,0.0,0.0,0.97956383228302,0.9701986193656922,0.981543505191803,0.963913357257843,0.9450900197029114,0.9999999761581421,0.9904843091964721,0.9134190440177917,4655.6,1.0,0.753486544883127,0.7529739092166637
32,2.979173517227173,0.0014230709290131926,1.1779229402542115,8.644850921630859,0.004447732865810394,0.0005112235783599317,2.319231462478638,0.0,0.0,0.0,0.0,0.981242561340332,0.9720076084136963,0.9828506112098694,0.9665114760398865,0.9479135394096374,0.9999999761581421,0.9905047535896301,0.9216637969017029,4697.6,1.0,0.7631113730111962,0.7628174577058474
33,2.9769442081451416,0.000992813048651442,1.1778870344161987,8.638779640197754,0.004280590545386076,0.0005318089621141553,2.3182284832000732,0.0,0.0,0.0,0.0,0.9816768884658813,0.9732272982597351,0.9836684584617614,0.9682209730148316,0.9498271942138672,0.9999999761581421,0.9907257795333863,0.9249112248420716,4714.0,1.0,0.746709880180711,0.7463903242243616
