threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,10182,10182,5962,1.0,0.5855431153015125
0.01,10182,10182,5962,1.0,0.5855431153015125
0.02,10182,10182,5962,1.0,0.5855431153015125
0.03,10182,10182,5962,1.0,0.5855431153015125
0.04,10182,10181,5962,0.9999017874680809,0.5856006286219428
0.05,10182,10178,5962,0.9996071498723237,0.5857732363922186
0.06,10182,10174,5960,0.9992142997446474,0.5858069589148811
0.07,10182,10165,5958,0.9983303869573757,0.5861288735858338
0.08,10182,10150,5953,0.9968571989785897,0.5865024630541872
0.09,10182,10141,5949,0.995973286191318,0.5866285376195641
0.1,10182,10120,5945,0.9939108230210175,0.5874505928853755
0.11,10182,10088,5940,0.9907680219996071,0.5888183980967486
0.12,10182,10052,5930,0.9872323708505205,0.5899323517707918
0.13,10182,10015,5911,0.9835985071695148,0.5902146779830255
0.14,10182,9972,5906,0.9793753682969947,0.5922583233052547
0.15,10182,9899,5885,0.9722058534669024,0.5945044954035761
0.16,10182,9848,5880,0.9671970143390297,0.5970755483346872
0.17,10182,9835,5875,0.9659202514240817,0.5973563802745298
0.18,10182,9826,5868,0.96503633863681,0.5971911255851822
0.19,10182,9815,5862,0.9639560007857002,0.5972491085073867
0.2,10182,9804,5856,0.9628756629345905,0.5973072215422277
0.21,10182,9793,5851,0.9617953250834806,0.5974675788828755
0.22,10182,9786,5849,0.9611078373600471,0.5976905783772737
0.23,10182,9774,5845,0.9599292869770183,0.5980151422140373
0.24,10182,9765,5845,0.9590453741897466,0.5985663082437276
0.25,10182,9753,5839,0.9578668238067177,0.5986875833077002
0.26,10182,9740,5835,0.9565900608917698,0.5990759753593429
0.27,10182,9730,5830,0.9556079355725791,0.5991778006166495
0.28,10182,9716,5826,0.954232960125712,0.5996294771510909
0.29,10182,9695,5816,0.9521704969554116,0.5998968540484786
0.3,10182,9658,5803,0.9485366332744058,0.6008490370677159
0.31,10182,9610,5795,0.9438224317422903,0.6030176899063475
0.32,10182,9521,5779,0.9350815164014928,0.6069740573469173
0.33,10182,9423,5756,0.9254566882734236,0.6108458028228801
0.34,10182,9326,5720,0.9159300726772737,0.613339052112374
0.35000000000000003,10182,9221,5665,0.905617756825771,0.6143585294436612
0.36,10182,9091,5581,0.8928501276762915,0.6139038609613904
0.37,10182,8955,5514,0.8794932233352976,0.6157453936348408
0.38,10182,8841,5456,0.8682969946965233,0.6171247596425744
0.39,10182,8687,5402,0.8531722647809861,0.6218487394957983
0.4,10182,8522,5325,0.8369671970143391,0.6248533208167097
0.41000000000000003,10182,8377,5265,0.8227263798860734,0.6285066252835144
0.42,10182,8218,5178,0.8071105873109409,0.6300803115113166
0.43,10182,8074,5107,0.7929679827145943,0.6325241515977211
0.44,10182,7950,5024,0.7807896287566294,0.6319496855345912
0.45,10182,7883,4979,0.7742093891180515,0.6316123303310922
0.46,10182,7792,4916,0.7652720487134158,0.6309034907597536
0.47000000000000003,10182,7707,4841,0.7569239835002947,0.6281302711820423
0.48,10182,7649,4796,0.7512276566489884,0.6270100666753824
0.49,10182,7626,4779,0.7489687684148497,0.6266719118804092
0.5,10182,7602,4760,0.7466116676487919,0.6261510128913443
0.51,10182,7583,4744,0.7447456295423296,0.625609916919425
0.52,10182,7574,4736,0.743861716755058,0.6252970689199895
0.53,10182,7561,4728,0.74258495384011,0.6253141118899617
0.54,10182,7552,4724,0.7417010410528383,0.6255296610169492
0.55,10182,7546,4720,0.7411117658613239,0.6254969520275643
0.56,10182,7539,4715,0.7404242781378904,0.6254145112083831
0.5700000000000001,10182,7530,4708,0.7395403653506187,0.6252324037184595
0.58,10182,7517,4702,0.7382636024356708,0.6255154982040708
0.59,10182,7504,4695,0.7369868395207229,0.6256663113006397
0.6,10182,7490,4686,0.7356118640738558,0.6256341789052069
0.61,10182,7453,4676,0.7319780003928501,0.6273983630752717
0.62,10182,7346,4647,0.7214692594775093,0.6325891641709774
0.63,10182,7201,4607,0.7072284423492438,0.6397722538536315
0.64,10182,7009,4543,0.6883716362207818,0.6481666428877157
0.65,10182,6762,4458,0.6641131408367708,0.6592724046140195
0.66,10182,6526,4360,0.6409349833038696,0.6680968433956481
0.67,10182,6265,4219,0.6153015124729916,0.6734237829209896
0.68,10182,5961,4038,0.5854449027695934,0.6774031202818319
0.6900000000000001,10182,5676,3835,0.5574543311726576,0.6756518675123326
0.7000000000000001,10182,5437,3684,0.5339815360439992,0.6775795475446018
0.71,10182,5318,3593,0.5222942447456296,0.6756299360661903
0.72,10182,5219,3510,0.5125712040856413,0.6725426326882544
0.73,10182,5167,3469,0.5074641524258495,0.6713760402554674
0.74,10182,5135,3445,0.5043213514044392,0.6708860759493671
0.75,10182,5117,3433,0.5025535258298959,0.6709009185069377
0.76,10182,5109,3431,0.5017678255745434,0.6715599921706792
0.77,10182,5094,3422,0.5002946375957572,0.6717707106399686
0.78,10182,5077,3414,0.49862502455313296,0.6724443569036833
0.79,10182,5062,3408,0.49715183657434686,0.6732516791781904
0.8,10182,5058,3405,0.4967589864466706,0.6731909845788849
0.81,10182,5058,3405,0.4967589864466706,0.6731909845788849
0.8200000000000001,10182,5058,3405,0.4967589864466706,0.6731909845788849
0.8300000000000001,10182,5053,3403,0.49626792378707524,0.6734613101128043
0.84,10182,5051,3402,0.4960714987232371,0.6735299940605821
0.85,10182,5045,3400,0.49548222353172267,0.6739345887016849
0.86,10182,5041,3398,0.49508937340404635,0.6740726046419361
0.87,10182,5028,3390,0.4938126104890984,0.6742243436754176
0.88,10182,5016,3385,0.4926340601060695,0.6748405103668261
0.89,10182,5002,3375,0.49125908465920254,0.6747301079568173
0.9,10182,4984,3369,0.4894912590846592,0.6759630818619583
0.91,10182,4971,3363,0.48821449616971124,0.6765238382619191
0.92,10182,4965,3360,0.4876252209781968,0.676737160120846
0.93,10182,4943,3349,0.4854645452759772,0.6775237709892777
0.9400000000000001,10182,4917,3337,0.48291101944608134,0.6786658531624975
0.95,10182,4892,3323,0.4804557061481045,0.679272281275552
0.9500000000000001,10182,4892,3323,0.4804557061481045,0.679272281275552
0.96,10182,4855,3305,0.4768218424670988,0.6807415036045315
0.97,10182,4812,3281,0.4725987035945787,0.6818370739817123
0.98,10182,4727,3233,0.46425063838145747,0.6839433044214089
0.99,10182,3455,2438,0.3393242977803968,0.705643994211288
1.0,10182,0,0,0.0,
