threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,10182,10182,6782,1.0,0.6660773914751522
0.01,10182,10182,6782,1.0,0.6660773914751522
0.02,10182,10181,6782,0.9999017874680809,0.6661428150476377
0.03,10182,10178,6781,0.9996071498723237,0.6662409117704854
0.04,10182,10174,6781,0.9992142997446474,0.666502850402988
0.05,10182,10167,6779,0.998526812021214,0.6667650240975705
0.06,10182,10158,6774,0.9976428992339422,0.6668635558180744
0.07,10182,10148,6771,0.9966607739147515,0.6672250689791092
0.08,10182,10129,6760,0.9947947358082891,0.6673906604798104
0.09,10182,10104,6747,0.9923394225103123,0.6677553444180523
0.1,10182,10077,6741,0.9896876841484974,0.6689490919916642
0.11,10182,10043,6735,0.9863484580632489,0.6706163496963059
0.12,10182,10014,6728,0.9835002946375958,0.6718593968444179
0.13,10182,9982,6715,0.9803574936161854,0.6727108795832498
0.14,10182,9947,6700,0.9769200549990179,0.6735699205790691
0.15,10182,9913,6686,0.9735808289137694,0.6744678704731161
0.16,10182,9834,6655,0.9658220388921627,0.6767337807606264
0.17,10182,9778,6623,0.9603221371046946,0.6773368787073021
0.18,10182,9735,6602,0.9560989982321745,0.6781715459681561
0.19,10182,9661,6558,0.9488312708701631,0.678811717213539
0.2,10182,9596,6523,0.9424474562954233,0.6797624010004168
0.21,10182,9548,6497,0.9377332547633078,0.6804566401340595
0.22,10182,9487,6457,0.9317422903162443,0.6806155792136608
0.23,10182,9431,6426,0.9262423885287763,0.6813699501643516
0.24,10182,9371,6384,0.9203496366136319,0.6812506669512325
0.25,10182,9332,6364,0.9165193478687881,0.6819545649378482
0.26,10182,9262,6330,0.909644470634453,0.6834377024400777
0.27,10182,9212,6315,0.9047338440384993,0.6855188884064264
0.28,10182,9168,6293,0.9004124926340601,0.6864092495636999
0.29,10182,9106,6254,0.8943233156550776,0.6867999121458379
0.3,10182,9053,6224,0.8891180514633668,0.6875069037887993
0.31,10182,8985,6187,0.8824395992928697,0.6885920979410128
0.32,10182,8920,6158,0.8760557847181301,0.6903587443946189
0.33,10182,8854,6123,0.8695737576114713,0.6915518409758301
0.34,10182,8738,6059,0.8581811039088588,0.6934081025406271
0.35000000000000003,10182,8639,6006,0.8484580632488705,0.6952193540919088
0.36,10182,8518,5950,0.8365743468866628,0.6985207795257102
0.37,10182,8388,5898,0.8238067177371833,0.7031473533619457
0.38,10182,8286,5849,0.8137890394814379,0.705889452087859
0.39,10182,8180,5784,0.8033785110980161,0.7070904645476772
0.4,10182,8036,5689,0.7892359065016696,0.7079392732702837
0.41000000000000003,10182,7869,5594,0.7728344136711844,0.7108908374634643
0.42,10182,7661,5507,0.7524062070320173,0.7188356611408432
0.43,10182,7507,5428,0.7372814771164801,0.7230584787531638
0.44,10182,7333,5311,0.7201924965625613,0.7242601936451657
0.45,10182,7184,5235,0.7055588293066195,0.7287026726057907
0.46,10182,7073,5165,0.6946572382636025,0.7302417644563834
0.47000000000000003,10182,6927,5073,0.6803182086034179,0.7323516673884799
0.48,10182,6776,4986,0.6654881162836378,0.7358323494687131
0.49,10182,6676,4931,0.6556668630917305,0.7386159376872379
0.5,10182,6578,4875,0.6460420349636614,0.741106719367589
0.51,10182,6495,4818,0.6378903948143784,0.7418013856812933
0.52,10182,6425,4767,0.6310155175800433,0.7419455252918288
0.53,10182,6353,4729,0.6239442152818699,0.7443727372894695
0.54,10182,6266,4672,0.6153997250049106,0.7456112352377913
0.55,10182,6218,4634,0.6106855234727951,0.745255709231264
0.56,10182,6189,4614,0.6078373600471421,0.7455162384876394
0.5700000000000001,10182,6163,4603,0.6052838342172461,0.7468765211747526
0.58,10182,6129,4581,0.6019446081319977,0.7474302496328928
0.59,10182,6090,4563,0.5981143193871538,0.7492610837438424
0.6,10182,6005,4513,0.5897662541740326,0.7515403830141548
0.61,10182,5856,4386,0.5751325869180908,0.7489754098360656
0.62,10182,5792,4341,0.5688469848752701,0.7494820441988951
0.63,10182,5703,4283,0.5601060695344726,0.7510082412765211
0.64,10182,5591,4200,0.5491062659595365,0.751207297442318
0.65,10182,5433,4092,0.5335886859163229,0.7531750414135836
0.66,10182,5187,3927,0.509428403064231,0.757085020242915
0.67,10182,4947,3767,0.4858573954036535,0.7614715989488579
0.68,10182,4676,3571,0.45924179925358477,0.7636869118905047
0.6900000000000001,10182,4462,3417,0.4382243174229032,0.7658000896458987
0.7000000000000001,10182,4259,3249,0.4182871734433314,0.7628551303122799
0.71,10182,4090,3136,0.40168925554900803,0.7667481662591688
0.72,10182,3899,2996,0.3829306619524651,0.7684021543985637
0.73,10182,3683,2856,0.36171675505794537,0.7754547922888949
0.74,10182,3489,2702,0.34266352386564525,0.7744339352249928
0.75,10182,3364,2613,0.3303869573757611,0.7767538644470868
0.76,10182,3273,2567,0.3214496169711255,0.7842957531316834
0.77,10182,3232,2533,0.31742290316244354,0.7837252475247525
0.78,10182,3210,2515,0.3152622274602239,0.7834890965732088
0.79,10182,3186,2500,0.3129051266941662,0.7846829880728186
0.8,10182,3170,2485,0.311333726183461,0.7839116719242902
0.81,10182,3154,2475,0.30976232567275586,0.7847178186429931
0.8200000000000001,10182,3138,2463,0.30819092516205066,0.7848948374760994
0.8300000000000001,10182,3125,2454,0.3069141622471027,0.78528
0.84,10182,3108,2442,0.30524454920447847,0.7857142857142857
0.85,10182,3089,2428,0.3033785110980161,0.7860148915506636
0.86,10182,3070,2414,0.3015124729915537,0.7863192182410423
0.87,10182,3047,2398,0.29925358475741504,0.7870036101083032
0.88,10182,3014,2371,0.29601257120408564,0.7866622428666225
0.89,10182,2983,2346,0.2929679827145944,0.7864565873281931
0.9,10182,2946,2316,0.2893341190335887,0.7861507128309573
0.91,10182,2917,2293,0.28648595560793555,0.7860815906753514
0.92,10182,2872,2255,0.28206639167157727,0.7851671309192201
0.93,10182,2831,2227,0.2780396778628953,0.7866478276227481
0.9400000000000001,10182,2781,2190,0.27312905126694165,0.7874865156418555
0.95,10182,2719,2146,0.26703987428795917,0.7892607576314822
0.9500000000000001,10182,2719,2146,0.26703987428795917,0.7892607576314822
0.96,10182,2636,2087,0.2588882341386761,0.7917298937784522
0.97,10182,2533,2012,0.2487723433510116,0.7943150414528227
0.98,10182,2309,1831,0.22677273620113927,0.7929839757470767
0.99,10182,1136,1005,0.11156943626006678,0.8846830985915493
1.0,10182,0,0,0.0,
