threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,10182,10182,6313,1.0,0.620015714005107
0.01,10182,10182,6313,1.0,0.620015714005107
0.02,10182,10181,6312,0.9999017874680809,0.6199783911207151
0.03,10182,10181,6312,0.9999017874680809,0.6199783911207151
0.04,10182,10180,6312,0.9998035749361619,0.6200392927308448
0.05,10182,10179,6312,0.9997053624042428,0.6201002063071028
0.06,10182,10178,6312,0.9996071498723237,0.6201611318530164
0.07,10182,10173,6312,0.9991160872127284,0.6204659392509584
0.08,10182,10170,6311,0.9988214496169712,0.62055063913471
0.09,10182,10167,6310,0.998526812021214,0.6206353890036392
0.1,10182,10166,6309,0.9984285994892949,0.6205980720047216
0.11,10182,10163,6309,0.9981339618935376,0.6207812653743974
0.12,10182,10159,6308,0.9977411117658613,0.620927256619746
0.13,10182,10154,6304,0.9972500491062659,0.6208390781957849
0.14,10182,10153,6303,0.9971518365743469,0.6208017334777898
0.15,10182,10147,6301,0.9965625613828325,0.6209717157780624
0.16,10182,10144,6300,0.9962679237870752,0.6210567823343849
0.17,10182,10140,6299,0.995875073659399,0.6212031558185405
0.18,10182,10133,6294,0.9951875859359655,0.6211388532517517
0.19,10182,10127,6291,0.994598310744451,0.6212106250617162
0.2,10182,10116,6287,0.9935179728933412,0.6214907077896402
0.21,10182,10108,6284,0.9927322726379886,0.6216857934309458
0.22,10182,10098,6280,0.9917501473187978,0.6219053277876807
0.23,10182,10087,6275,0.9906698094676881,0.6220878358282939
0.24,10182,10071,6271,0.9890984089569829,0.6226789792473438
0.25,10182,10052,6267,0.9872323708505205,0.623458018304815
0.26,10182,10027,6257,0.9847770575525437,0.6240151590705096
0.27,10182,9990,6242,0.981143193871538,0.6248248248248248
0.28,10182,9971,6231,0.9792771557650756,0.6249122455119848
0.29,10182,9953,6220,0.9775093301905323,0.6249372048628554
0.3,10182,9928,6205,0.9750540168925554,0.625
0.31,10182,9904,6195,0.9726969161264978,0.6255048465266559
0.32,10182,9877,6181,0.9700451777646828,0.625797306874557
0.33,10182,9830,6175,0.9654291887644864,0.6281790437436419
0.34,10182,9800,6165,0.9624828128069142,0.6290816326530613
0.35000000000000003,10182,9775,6155,0.9600274995089373,0.6296675191815857
0.36,10182,9750,6144,0.9575721862109605,0.6301538461538462
0.37,10182,9717,6134,0.9543311726576311,0.6312647936605948
0.38,10182,9691,6121,0.9517776468277352,0.6316169641935817
0.39,10182,9649,6103,0.9476527204871341,0.63250077728262
0.4,10182,9620,6084,0.944804557061481,0.6324324324324324
0.41000000000000003,10182,9592,6064,0.942054606167747,0.6321934945788157
0.42,10182,9560,6046,0.9389118051463367,0.6324267782426778
0.43,10182,9533,6029,0.9362600667845217,0.632434700514004
0.44,10182,9516,6019,0.9345904537418974,0.6325136612021858
0.45,10182,9491,6005,0.9321351404439207,0.6327046675798125
0.46,10182,9463,5987,0.9293851895501866,0.6326746274965656
0.47000000000000003,10182,9432,5967,0.9263406010606954,0.6326335877862596
0.48,10182,9397,5942,0.9229031624435278,0.6323294668511227
