threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,10182,10182,6782,1.0,0.6660773914751522
0.01,10182,10179,6781,0.9997053624042428,0.6661754592789075
0.02,10182,10173,6781,0.9991160872127284,0.6665683672466333
0.03,10182,10159,6775,0.9977411117658613,0.6668963480657545
0.04,10182,10147,6770,0.9965625613828325,0.6671922735783976
0.05,10182,10120,6756,0.9939108230210175,0.6675889328063241
0.06,10182,10090,6742,0.9909644470634453,0.6681863230921705
0.07,10182,10053,6735,0.9873305833824396,0.6699492688749626
0.08,10182,10010,6726,0.9831074445099195,0.6719280719280719
0.09,10182,9980,6715,0.9801610685523473,0.6728456913827655
0.1,10182,9942,6698,0.9764289923394225,0.6737075035204184
0.11,10182,9899,6676,0.9722058534669024,0.6744115567229013
0.12,10182,9812,6638,0.963661363189943,0.6765185487158581
0.13,10182,9757,6613,0.958259673934394,0.6777698062929179
0.14,10182,9697,6577,0.9523669220192497,0.6782510054656079
0.15,10182,9618,6531,0.9446081319976429,0.6790393013100436
0.16,10182,9565,6501,0.9394028678059321,0.679665446941976
0.17,10182,9505,6475,0.9335101158907877,0.681220410310363
0.18,10182,9444,6438,0.9275191514437242,0.681702668360864
0.19,10182,9381,6400,0.9213317619328226,0.6822300394414241
0.2,10182,9300,6350,0.9133765468473777,0.6827956989247311
0.21,10182,9248,6335,0.9082694951875859,0.6850129757785467
0.22,10182,9183,6303,0.9018856806128462,0.6863770009800719
0.23,10182,9116,6261,0.8953054409742683,0.6868143922773147
0.24,10182,9061,6232,0.8899037517187193,0.6877828054298643
0.25,10182,9000,6193,0.8839127872716559,0.6881111111111111
0.26,10182,8937,6163,0.8777253977607543,0.6896050128678527
0.27,10182,8866,6127,0.8707523079945001,0.6910669975186104
0.28,10182,8763,6074,0.8606364172068356,0.6931416181672944
0.29,10182,8669,6021,0.8514044392064427,0.6945437766755105
0.3,10182,8556,5970,0.8403064230995875,0.6977559607293128
0.31,10182,8450,5925,0.8298958947161658,0.7011834319526628
0.32,10182,8346,5877,0.8196817913965821,0.7041696621135873
0.33,10182,8255,5830,0.8107444509919466,0.7062386432465173
0.34,10182,8161,5767,0.8015124729915537,0.7066535963729935
0.35000000000000003,10182,8029,5686,0.7885484187782361,0.7081828372150952
0.36,10182,7890,5602,0.774896876841485,0.7100126742712294
