threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,2553,2553,1002,1.0,0.39247943595769685
0.01,2553,2553,1002,1.0,0.39247943595769685
0.02,2553,2553,1002,1.0,0.39247943595769685
0.03,2553,2553,1002,1.0,0.39247943595769685
0.04,2553,2553,1002,1.0,0.39247943595769685
0.05,2553,2553,1002,1.0,0.39247943595769685
0.06,2553,2552,1002,0.9996083039561301,0.3926332288401254
0.07,2553,2552,1002,0.9996083039561301,0.3926332288401254
0.08,2553,2550,1001,0.9988249118683902,0.39254901960784316
0.09,2553,2546,999,0.9972581276929103,0.39238020424194814
0.1,2553,2542,996,0.9956913435174305,0.3918174665617624
0.11,2553,2541,996,0.9952996474735605,0.3919716646989374
0.12,2553,2539,996,0.9945162553858206,0.3922804253643167
0.13,2553,2537,995,0.9937328632980806,0.3921955065037446
0.14,2553,2532,993,0.9917743830787309,0.3921800947867299
0.15,2553,2530,992,0.990990990990991,0.39209486166007906
0.16,2553,2523,992,0.9882491186839013,0.3931827189853349
0.17,2553,2516,990,0.9855072463768116,0.3934817170111288
0.18,2553,2506,986,0.981590285938112,0.3934557063048683
0.19,2553,2493,985,0.9764982373678026,0.39510629763337346
0.2,2553,2477,977,0.9702311006658833,0.39442874444893017
0.21,2553,2461,970,0.963963963963964,0.3941487200325071
0.22,2553,2447,963,0.9584802193497846,0.39354311401716385
0.23,2553,2434,958,0.9533881707794751,0.3935907970419063
0.24,2553,2419,955,0.9475127301214258,0.3947912360479537
0.25,2553,2408,950,0.9432040736388563,0.3945182724252492
0.26,2553,2396,948,0.9385037211124168,0.39565943238731216
0.27,2553,2376,943,0.9306698002350177,0.3968855218855219
0.28,2553,2348,939,0.9197023110066588,0.39991482112436116
0.29,2553,2333,935,0.9138268703486094,0.4007715387912559
0.3,2553,2318,929,0.9079514296905601,0.40077653149266607
0.31,2553,2296,921,0.8993341167254211,0.4011324041811847
0.32,2553,2271,909,0.8895417156286721,0.4002642007926024
0.33,2553,2251,899,0.881707794751273,0.39937805419813416
0.34,2553,2238,895,0.8766157461809636,0.3999106344950849
0.35000000000000003,2553,2222,890,0.8703486094790442,0.40054005400540055
0.36,2553,2198,871,0.8609479044261653,0.3962693357597816
0.37,2553,2176,858,0.8523305914610263,0.3943014705882353
0.38,2553,2156,850,0.8444966705836271,0.3942486085343228
0.39,2553,2130,835,0.8343125734430082,0.392018779342723
0.4,2553,2100,826,0.8225616921269095,0.3933333333333333
0.41000000000000003,2553,2067,816,0.8096357226792009,0.39477503628447025
0.42,2553,2027,797,0.7939678809244026,0.3931919092254563
0.43,2553,1989,774,0.7790834312573442,0.3891402714932127
0.44,2553,1954,768,0.7653740697218958,0.3930399181166837
