threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,2553,2553,1202,1.0,0.4708186447316882
0.01,2553,2553,1202,1.0,0.4708186447316882
0.02,2553,2553,1202,1.0,0.4708186447316882
0.03,2553,2553,1202,1.0,0.4708186447316882
0.04,2553,2553,1202,1.0,0.4708186447316882
0.05,2553,2553,1202,1.0,0.4708186447316882
0.06,2553,2553,1202,1.0,0.4708186447316882
0.07,2553,2553,1202,1.0,0.4708186447316882
0.08,2553,2552,1201,0.9996083039561301,0.4706112852664577
0.09,2553,2549,1201,0.9984332158245202,0.47116516280894466
0.1,2553,2547,1200,0.9976498237367802,0.4711425206124853
0.11,2553,2544,1199,0.9964747356051704,0.4713050314465409
0.12,2553,2538,1199,0.9941245593419507,0.4724192277383767
0.13,2553,2537,1198,0.9937328632980806,0.47221127315727235
0.14,2553,2533,1197,0.9921660791226009,0.47256217923410976
0.15,2553,2523,1195,0.9882491186839013,0.47364248910027745
0.16,2553,2516,1192,0.9855072463768116,0.4737678855325914
0.17,2553,2509,1190,0.9827653740697219,0.4742925468314069
0.18,2553,2500,1189,0.9792401096748923,0.4756
0.19,2553,2489,1187,0.9749314531923228,0.4768983527521093
0.2,2553,2474,1183,0.9690560125342734,0.47817299919159256
0.21,2553,2457,1176,0.9623971797884842,0.47863247863247865
0.22,2553,2416,1174,0.9463376419898158,0.4859271523178808
0.23,2553,2397,1166,0.9388954171562868,0.48644138506466417
0.24,2553,2378,1160,0.9314531923227576,0.4878048780487805
0.25,2553,2344,1152,0.918135526831179,0.49146757679180886
0.26,2553,2314,1140,0.9063846455150802,0.49265341400172863
0.27,2553,2266,1122,0.8875832354093224,0.49514563106796117
0.28,2553,2235,1114,0.8754406580493537,0.49843400447427294
0.29,2553,2199,1104,0.8613396004700352,0.5020463847203275
0.3,2553,2144,1089,0.8397963180571876,0.507929104477612
0.31,2553,2096,1070,0.8209949079514297,0.5104961832061069
0.32,2553,2055,1059,0.8049353701527615,0.5153284671532846
0.33,2553,2036,1053,0.7974931453192323,0.5171905697445972
0.34,2553,2008,1045,0.7865256560908734,0.5204183266932271
0.35000000000000003,2553,1975,1038,0.7735996866431649,0.5255696202531646
0.36,2553,1957,1034,0.7665491578535056,0.5283597342871742
0.37,2553,1934,1027,0.7575401488444967,0.5310237849017581
0.38,2553,1917,1022,0.7508813160987075,0.5331246739697444
0.39,2553,1902,1019,0.745005875440658,0.535751840168244
0.4,2553,1879,1007,0.7359968664316491,0.5359233634912187
0.41000000000000003,2553,1850,1001,0.7246376811594203,0.5410810810810811
0.42,2553,1810,993,0.708969839404622,0.5486187845303867
0.43,2553,1775,990,0.6952604778691736,0.5577464788732395
0.44,2553,1739,984,0.6811594202898551,0.5658424381828637
0.45,2553,1708,970,0.6690168429298864,0.5679156908665105
0.46,2553,1674,960,0.6556991774383079,0.5734767025089605
0.47000000000000003,2553,1635,947,0.6404230317273796,0.5792048929663609
0.48,2553,1592,930,0.6235801018409715,0.5841708542713567
0.49,2553,1573,923,0.6161378770074423,0.5867768595041323
0.5,2553,1538,903,0.6024285154719937,0.5871261378413524
0.51,2553,1503,886,0.5887191539365453,0.5894876912840985
0.52,2553,1467,874,0.5746180963572268,0.5957736877982277
0.53,2553,1415,844,0.554249902075989,0.5964664310954063
0.54,2553,1372,825,0.5374069721895809,0.6013119533527697
0.55,2553,1355,815,0.5307481394437916,0.6014760147601476
0.56,2553,1334,805,0.5225225225225225,0.603448275862069
0.5700000000000001,2553,1310,792,0.5131218174696436,0.6045801526717557
0.58,2553,1278,771,0.500587544065805,0.6032863849765259
0.59,2553,1268,765,0.49667058362710537,0.6033123028391167
0.6,2553,1248,755,0.4888366627497062,0.6049679487179487
0.61,2553,1232,747,0.4825695260477869,0.6063311688311688
0.62,2553,1222,743,0.47865256560908737,0.6080196399345336
0.63,2553,1197,729,0.4688601645123384,0.6090225563909775
0.64,2553,1167,713,0.4571092831962397,0.610968294772922
0.65,2553,1130,692,0.4426165295730513,0.6123893805309735
0.66,2553,1098,667,0.4300822561692127,0.6074681238615665
0.67,2553,1061,640,0.4155895025460243,0.6032045240339302
0.68,2553,1026,610,0.4018801410105758,0.594541910331384
0.6900000000000001,2553,996,589,0.3901292596944771,0.5913654618473896
0.7,2553,972,569,0.3807285546415981,0.5853909465020576
0.7000000000000001,2553,972,569,0.3807285546415981,0.5853909465020576
0.71,2553,937,543,0.3670191931061496,0.5795090715048026
0.72,2553,906,520,0.35487661574618096,0.5739514348785872
0.73,2553,852,492,0.3337250293772033,0.5774647887323944
0.74,2553,781,473,0.3059146102624363,0.6056338028169014
0.75,2553,679,422,0.2659616137877007,0.6215022091310751
0.76,2553,656,407,0.25695260477869175,0.6204268292682927
0.77,2553,646,400,0.25303564433999215,0.6191950464396285
0.78,2553,618,393,0.24206815511163338,0.6359223300970874
0.79,2553,603,387,0.23619271445358403,0.6417910447761194
0.8,2553,594,382,0.23266745005875442,0.6430976430976431
0.81,2553,587,378,0.2299255777516647,0.6439522998296422
0.8200000000000001,2553,568,360,0.22248335291813554,0.6338028169014085
0.8300000000000001,2553,560,354,0.21934978456717588,0.6321428571428571
0.84,2553,557,351,0.218174696435566,0.63016157989228
0.85,2553,550,346,0.2154328241284763,0.6290909090909091
0.86,2553,546,344,0.21386603995299647,0.63003663003663
0.87,2553,539,341,0.21112416764590677,0.6326530612244898
0.88,2553,527,335,0.20642381511946728,0.635673624288425
0.89,2553,517,328,0.20250685468076773,0.6344294003868471
0.9,2553,507,321,0.19858989424206816,0.6331360946745562
0.91,2553,491,311,0.19232275754014885,0.6334012219959266
0.92,2553,478,302,0.1872307089698394,0.6317991631799164
0.93,2553,473,299,0.18527222875048963,0.6321353065539113
0.9400000000000001,2553,468,296,0.18331374853113983,0.6324786324786325
0.9500000000000001,2553,463,294,0.18135526831179005,0.6349892008639308
0.96,2553,456,292,0.17861339600470036,0.6403508771929824
0.97,2553,408,255,0.1598119858989424,0.625
0.98,2553,397,251,0.1555033294163729,0.6322418136020151
0.99,2553,356,238,0.13944379161770465,0.6685393258426966
1.0,2553,0,0,0.0,
