threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,2553,2553,1323,1.0,0.518213866039953
0.01,2553,2553,1323,1.0,0.518213866039953
0.02,2553,2553,1323,1.0,0.518213866039953
0.03,2553,2553,1323,1.0,0.518213866039953
0.04,2553,2553,1323,1.0,0.518213866039953
0.05,2553,2553,1323,1.0,0.518213866039953
0.06,2553,2552,1323,0.9996083039561301,0.5184169278996865
0.07,2553,2552,1323,0.9996083039561301,0.5184169278996865
0.08,2553,2552,1323,0.9996083039561301,0.5184169278996865
0.09,2553,2552,1323,0.9996083039561301,0.5184169278996865
0.1,2553,2552,1323,0.9996083039561301,0.5184169278996865
0.11,2553,2551,1323,0.9992166079122601,0.5186201489611917
0.12,2553,2550,1323,0.9988249118683902,0.5188235294117647
0.13,2553,2550,1323,0.9988249118683902,0.5188235294117647
0.14,2553,2549,1322,0.9984332158245202,0.5186347587289133
0.15,2553,2549,1322,0.9984332158245202,0.5186347587289133
0.16,2553,2549,1322,0.9984332158245202,0.5186347587289133
0.17,2553,2549,1322,0.9984332158245202,0.5186347587289133
0.18,2553,2547,1321,0.9976498237367802,0.5186493914409108
0.19,2553,2546,1320,0.9972581276929103,0.5184603299293009
0.2,2553,2546,1320,0.9972581276929103,0.5184603299293009
0.21,2553,2546,1320,0.9972581276929103,0.5184603299293009
0.22,2553,2544,1318,0.9964747356051704,0.5180817610062893
0.23,2553,2541,1316,0.9952996474735605,0.5179063360881543
0.24,2553,2539,1315,0.9945162553858206,0.5179204411185506
0.25,2553,2537,1314,0.9937328632980806,0.5179345683878597
0.26,2553,2535,1314,0.9929494712103408,0.5183431952662721
0.27,2553,2532,1312,0.9917743830787309,0.5181674565560821
0.28,2553,2530,1312,0.990990990990991,0.5185770750988142
0.29,2553,2528,1311,0.990207598903251,0.5185917721518988
0.3,2553,2524,1311,0.9886408147277712,0.5194136291600634
0.31,2553,2521,1311,0.9874657265961614,0.5200317334391115
0.32,2553,2518,1310,0.9862906384645516,0.5202541699761716
0.33,2553,2517,1310,0.9858989424206815,0.520460866110449
0.34,2553,2515,1309,0.9851155503329416,0.5204771371769383
0.35000000000000003,2553,2513,1308,0.9843321582452017,0.5204934341424592
0.36,2553,2507,1305,0.9819819819819819,0.5205424810530515
0.37,2553,2500,1304,0.9792401096748923,0.5216
0.38,2553,2499,1303,0.9788484136310224,0.5214085634253701
0.39,2553,2496,1303,0.9776733254994124,0.5220352564102564
0.4,2553,2490,1299,0.9753231492361927,0.5216867469879518
0.41000000000000003,2553,2485,1297,0.9733646690168429,0.5219315895372233
0.42,2553,2480,1294,0.9714061887974932,0.521774193548387
0.43,2553,2477,1293,0.9702311006658833,0.5220024222850222
0.44,2553,2475,1292,0.9694477085781433,0.522020202020202
0.45,2553,2473,1291,0.9686643164904034,0.5220380105135463
0.46,2553,2469,1289,0.9670975323149236,0.5220737140542729
0.47000000000000003,2553,2467,1287,0.9663141402271838,0.5216862586137009
0.48,2553,2463,1286,0.9647473560517039,0.5221274868047097
0.49,2553,2460,1286,0.963572267920094,0.5227642276422764
0.5,2553,2459,1285,0.9631805718762241,0.5225701504676697
0.51,2553,2452,1283,0.9604386995691343,0.5232463295269169
0.52,2553,2446,1282,0.9580885233059147,0.5241210139002453
0.53,2553,2443,1281,0.9569134351743047,0.5243553008595988
0.54,2553,2441,1280,0.9561300430865648,0.5243752560426055
0.55,2553,2440,1280,0.9557383470426949,0.5245901639344263
0.56,2553,2431,1275,0.9522130826478653,0.5244755244755245
0.5700000000000001,2553,2428,1274,0.9510379945162554,0.5247116968698518
0.58,2553,2422,1272,0.9486878182530356,0.5251857968620974
0.59,2553,2418,1271,0.9471210340775558,0.5256410256410257
0.6,2553,2396,1269,0.9385037211124168,0.5296327212020033
0.61,2553,2388,1268,0.9353701527614571,0.5309882747068677
0.62,2553,2374,1267,0.9298864081472777,0.533698399326032
0.63,2553,2352,1266,0.9212690951821386,0.5382653061224489
0.64,2553,2342,1264,0.9173521347434391,0.5397096498719044
0.65,2553,2337,1263,0.9153936545240893,0.540436456996149
0.66,2553,2325,1259,0.9106933019976499,0.541505376344086
0.67,2553,2297,1238,0.899725812769291,0.5389638659120592
0.68,2553,2292,1236,0.8977673325499412,0.5392670157068062
0.6900000000000001,2553,2286,1236,0.8954171562867215,0.5406824146981627
0.7,2553,2282,1236,0.8938503721112416,0.5416301489921121
0.7000000000000001,2553,2282,1236,0.8938503721112416,0.5416301489921121
0.71,2553,2278,1235,0.8922835879357619,0.5421422300263389
0.72,2553,2269,1234,0.8887583235409322,0.5438519171441164
0.73,2553,2263,1233,0.8864081472777124,0.5448519664162615
0.74,2553,2260,1233,0.8852330591461026,0.5455752212389381
0.75,2553,2250,1232,0.881316098707403,0.5475555555555556
0.76,2553,2242,1230,0.8781825303564434,0.5486173059768065
0.77,2553,2235,1229,0.8754406580493537,0.5498881431767337
0.78,2553,2230,1226,0.8734821778300039,0.5497757847533632
0.79,2553,2223,1224,0.8707403055229143,0.5506072874493927
0.8,2553,2222,1223,0.8703486094790442,0.5504050405040504
0.81,2553,2216,1222,0.8679984332158245,0.5514440433212996
0.8200000000000001,2553,2208,1220,0.8648648648648649,0.552536231884058
0.8300000000000001,2553,2201,1219,0.8621229925577751,0.5538391640163562
0.84,2553,2195,1219,0.8597728162945554,0.5553530751708429
0.85,2553,2191,1219,0.8582060321190756,0.5563669557279781
0.86,2553,2184,1218,0.8554641598119859,0.5576923076923077
0.87,2553,2173,1215,0.8511555033294164,0.5591348366313852
0.88,2553,2165,1214,0.8480219349784567,0.5607390300230947
0.89,2553,2156,1213,0.8444966705836271,0.5626159554730983
0.9,2553,2149,1212,0.8417547982765374,0.563983248022336
0.91,2553,2142,1210,0.8390129259694477,0.5648926237161531
0.92,2553,2131,1209,0.8347042694868781,0.5673392773345847
0.93,2553,2118,1202,0.8296122209165687,0.5675165250236072
0.9400000000000001,2553,2106,1197,0.8249118683901293,0.5683760683760684
0.9500000000000001,2553,2070,1169,0.8108108108108109,0.5647342995169082
0.96,2553,2050,1163,0.8029768899334117,0.5673170731707317
0.97,2553,2034,1161,0.7967097532314924,0.5707964601769911
0.98,2553,1992,1154,0.7802585193889542,0.5793172690763052
0.99,2553,1364,854,0.5342734038386212,0.626099706744868
1.0,2553,0,0,0.0,
