threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,2553,2553,1202,1.0,0.4708186447316882
0.01,2553,2553,1202,1.0,0.4708186447316882
0.02,2553,2553,1202,1.0,0.4708186447316882
0.03,2553,2553,1202,1.0,0.4708186447316882
0.04,2553,2552,1201,0.9996083039561301,0.4706112852664577
0.05,2553,2550,1201,0.9988249118683902,0.47098039215686277
0.06,2553,2546,1199,0.9972581276929103,0.4709347996857816
0.07,2553,2546,1199,0.9972581276929103,0.4709347996857816
0.08,2553,2538,1199,0.9941245593419507,0.4724192277383767
0.09,2553,2534,1195,0.9925577751664708,0.47158642462509864
0.1,2553,2527,1193,0.9898159028593811,0.47210130589631977
0.11,2553,2518,1192,0.9862906384645516,0.47339158061953934
0.12,2553,2513,1190,0.9843321582452017,0.4735376044568245
0.13,2553,2507,1188,0.9819819819819819,0.4738731551655365
0.14,2553,2492,1184,0.9761065413239326,0.4751203852327448
0.15,2553,2481,1181,0.9717978848413631,0.47601773478436116
0.16,2553,2467,1177,0.9663141402271838,0.47709768950141873
0.17,2553,2448,1169,0.9588719153936546,0.4775326797385621
0.18,2553,2400,1165,0.9400705052878966,0.48541666666666666
0.19,2553,2372,1154,0.9291030160595378,0.48650927487352447
0.2,2553,2353,1148,0.9216607912260086,0.4878878028049299
0.21,2553,2326,1141,0.9110849980415198,0.49054170249355117
0.22,2553,2303,1132,0.9020759890325107,0.4915327833260964
0.23,2553,2269,1119,0.8887583235409322,0.49316879682679593
0.24,2553,2234,1104,0.8750489620054838,0.4941808415398389
0.25,2553,2189,1090,0.8574226400313357,0.4979442667884879
0.26,2553,2145,1080,0.8401880141010576,0.5034965034965035
0.27,2553,2103,1069,0.8237367802585194,0.5083214455539705
0.28,2553,2065,1056,0.808852330591461,0.5113801452784503
0.29,2553,2031,1048,0.7955346650998825,0.5160019694731659
0.3,2553,2007,1044,0.7861339600470035,0.5201793721973094
0.31,2553,1989,1037,0.7790834312573442,0.5213675213675214
0.32,2553,1962,1031,0.7685076380728555,0.5254841997961264
0.33,2553,1945,1025,0.7618488053270662,0.5269922879177378
0.34,2553,1927,1023,0.7547982765374069,0.5308770108977685
0.35000000000000003,2553,1905,1013,0.7461809635722679,0.531758530183727
0.36,2553,1873,1006,0.7336466901684293,0.5371062466631074
0.37,2553,1837,999,0.7195456325891109,0.5438214480130648
0.38,2553,1802,993,0.7058362710536623,0.5510543840177581
0.39,2553,1778,989,0.6964355660007834,0.5562429696287964
0.4,2553,1755,981,0.6874265569917744,0.558974358974359
0.41000000000000003,2553,1728,969,0.6768507638072856,0.5607638888888888
0.42,2553,1698,961,0.6650998824911868,0.565959952885748
0.43,2553,1662,951,0.6509988249118684,0.572202166064982
0.44,2553,1609,938,0.6302389345867607,0.5829707893101305
0.45,2553,1585,930,0.6208382295338817,0.5867507886435331
0.46,2553,1560,921,0.6110458284371327,0.5903846153846154
0.47000000000000003,2553,1524,901,0.5969447708578144,0.5912073490813649
0.48,2553,1497,884,0.5863689776733255,0.5905143620574482
0.49,2553,1470,877,0.5757931844888367,0.5965986394557823
0.5,2553,1446,867,0.5663924794359577,0.5995850622406639
0.51,2553,1391,835,0.5448491970231101,0.6002875629043853
0.52,2553,1350,821,0.5287896592244419,0.6081481481481481
0.53,2553,1328,808,0.5201723462593028,0.608433734939759
0.54,2553,1309,796,0.5127301214257736,0.6080977845683728
0.55,2553,1280,780,0.5013709361535449,0.609375
0.56,2553,1260,767,0.4935370152761457,0.6087301587301587
0.5700000000000001,2553,1235,746,0.4837446141793968,0.6040485829959514
0.58,2553,1218,735,0.4770857814336075,0.603448275862069
0.59,2553,1196,718,0.46846846846846846,0.6003344481605352
0.6,2553,1175,707,0.46024285154719935,0.6017021276595744
0.61,2553,1146,684,0.4488836662749706,0.5968586387434555
0.62,2553,1122,664,0.4394829612220917,0.5918003565062389
0.63,2553,1092,642,0.42773207990599293,0.5879120879120879
0.64,2553,1058,617,0.4144144144144144,0.5831758034026465
0.65,2553,1032,600,0.40423031727379555,0.5813953488372093
0.66,2553,1005,584,0.3936545240893067,0.5810945273631841
0.67,2553,981,569,0.38425381903642775,0.5800203873598369
0.68,2553,951,550,0.372502937720329,0.5783385909568874
0.6900000000000001,2553,917,529,0.35918527222875046,0.5768811341330425
0.7,2553,887,508,0.34743439091265177,0.5727170236753101
0.7000000000000001,2553,887,508,0.34743439091265177,0.5727170236753101
0.71,2553,846,489,0.33137485311398357,0.5780141843971631
0.72,2553,785,474,0.30748139443791617,0.6038216560509554
0.73,2553,695,435,0.27222875048962003,0.6258992805755396
0.74,2553,661,409,0.2589110849980415,0.6187594553706506
0.75,2553,648,401,0.25381903642773207,0.6188271604938271
0.76,2553,638,393,0.24990207598903252,0.6159874608150471
0.77,2553,616,388,0.24128476302389346,0.6298701298701299
0.78,2553,600,382,0.23501762632197415,0.6366666666666667
0.79,2553,588,374,0.23031727379553465,0.6360544217687075
0.8,2553,578,367,0.2264003133568351,0.6349480968858131
0.81,2553,569,365,0.2228750489620055,0.6414762741652021
0.8200000000000001,2553,551,347,0.21582452017234627,0.6297640653357531
0.8300000000000001,2553,541,342,0.2119075597336467,0.6321626617375231
0.84,2553,532,338,0.20838229533881708,0.6353383458646616
0.85,2553,523,332,0.20485703094398747,0.6347992351816444
0.86,2553,512,325,0.20054837446141793,0.634765625
0.87,2553,505,319,0.19780650215432824,0.6316831683168317
0.88,2553,494,313,0.1934978456717587,0.6336032388663968
0.89,2553,480,304,0.18801410105757932,0.6333333333333333
0.9,2553,477,301,0.18683901292596944,0.6310272536687631
0.91,2553,473,299,0.18527222875048963,0.6321353065539113
0.92,2553,468,296,0.18331374853113983,0.6324786324786325
0.93,2553,465,295,0.18213866039952997,0.6344086021505376
0.9400000000000001,2553,458,293,0.17939678809244028,0.6397379912663755
0.9500000000000001,2553,453,291,0.17743830787309048,0.6423841059602649
0.96,2553,408,255,0.1598119858989424,0.625
0.97,2553,399,252,0.1562867215041128,0.631578947368421
0.98,2553,386,246,0.15119467293380337,0.6373056994818653
0.99,2553,291,229,0.11398354876615746,0.7869415807560137
1.0,2553,0,0,0.0,
