threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,8229,8229,3819,1.0,0.46409041195771056
0.01,8229,8228,3819,0.9998784785514643,0.46414681575109384
0.02,8229,8228,3819,0.9998784785514643,0.46414681575109384
0.03,8229,8228,3819,0.9998784785514643,0.46414681575109384
0.04,8229,8228,3819,0.9998784785514643,0.46414681575109384
0.05,8229,8228,3819,0.9998784785514643,0.46414681575109384
0.06,8229,8227,3819,0.9997569571029287,0.46420323325635104
0.07,8229,8225,3819,0.9995139142058573,0.4643161094224924
0.08,8229,8223,3818,0.999270871308786,0.4643074303782075
0.09,8229,8223,3818,0.999270871308786,0.4643074303782075
0.1,8229,8218,3816,0.9986632640661076,0.46434655633974203
0.11,8229,8212,3813,0.9979341353748936,0.4643205065757428
0.12,8229,8208,3810,0.997448049580751,0.4641812865497076
0.13,8229,8198,3807,0.9962328350953943,0.46438155647718954
0.14,8229,8184,3800,0.994531534815895,0.46432062561094817
0.15,8229,8166,3796,0.992344148742253,0.4648542738182709
0.16,8229,8151,3789,0.990521327014218,0.4648509385351491
0.17,8229,8123,3778,0.9871187264552194,0.4650991013172473
0.18,8229,8105,3775,0.9849313403815774,0.46576187538556446
0.19,8229,8086,3769,0.9826224328593997,0.4661142715805095
0.2,8229,8067,3759,0.980313525337222,0.46597248047601336
0.21,8229,8041,3747,0.9771539676752947,0.465986817560005
0.22,8229,8013,3740,0.9737513671162961,0.46674154498939224
0.23,8229,7983,3731,0.9701057236602261,0.46736815733433545
0.24,8229,7955,3720,0.9667031231012274,0.4676304211187932
0.25,8229,7919,3708,0.9623283509539434,0.46824093951256474
0.26,8229,7869,3690,0.95625227852716,0.4689287075867328
0.27,8229,7837,3678,0.9523635921740187,0.4693122368253158
0.28,8229,7793,3657,0.9470166484384493,0.46926729115873217
0.29,8229,7751,3641,0.9419127475999514,0.46974583924654884
0.3,8229,7703,3619,0.9360797180702394,0.46981695443333765
0.31,8229,7656,3600,0.9303682099890631,0.4702194357366771
0.32,8229,7616,3585,0.9255073520476365,0.47071953781512604
