threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,8229,8229,4044,1.0,0.4914327378782355
0.01,8229,8229,4044,1.0,0.4914327378782355
0.02,8229,8229,4044,1.0,0.4914327378782355
0.03,8229,8229,4044,1.0,0.4914327378782355
0.04,8229,8229,4044,1.0,0.4914327378782355
0.05,8229,8229,4044,1.0,0.4914327378782355
0.06,8229,8228,4043,0.9998784785514643,0.49137092853670394
0.07,8229,8227,4043,0.9997569571029287,0.4914306551598396
0.08,8229,8227,4043,0.9997569571029287,0.4914306551598396
0.09,8229,8226,4042,0.999635435654393,0.49136883053732067
0.1,8229,8220,4041,0.998906306963179,0.4916058394160584
0.11,8229,8211,4038,0.997812613926358,0.4917793204238217
0.12,8229,8203,4037,0.9968404423380727,0.4921370230403511
0.13,8229,8194,4032,0.9957467493012516,0.49206736636563336
0.14,8229,8184,4030,0.994531534815895,0.49242424242424243
0.15,8229,8174,4025,0.9933163203305383,0.49241497430878395
0.16,8229,8162,4023,0.9918580629481103,0.4928938985542759
0.17,8229,8141,4020,0.9893061125288614,0.49379683085616016
0.18,8229,8126,4017,0.9874832908008263,0.49433915825744523
0.19,8229,8101,4008,0.9844452545874347,0.4947537341069004
0.2,8229,8072,4001,0.9809211325799003,0.49566402378592667
0.21,8229,8052,3996,0.978490703609187,0.496274217585693
0.22,8229,8020,3981,0.9746020172560457,0.4963840399002494
0.23,8229,7982,3971,0.9699842022116903,0.4974943623152092
0.24,8229,7938,3953,0.964637258476121,0.4979843789367599
0.25,8229,7895,3940,0.9594118361890873,0.4990500316656111
0.26,8229,7848,3926,0.953700328107911,0.5002548419979612
0.27,8229,7795,3912,0.9472596913355207,0.5018601667735728
0.28,8229,7741,3889,0.9406975331145947,0.5023898721095466
0.29,8229,7681,3869,0.9334062462024547,0.5037104543679208
0.3,8229,7629,3856,0.9270871308786001,0.5054397693013502
0.31,8229,7579,3836,0.9210110584518167,0.5061353740599024
0.32,8229,7527,3821,0.9146919431279621,0.5076391656702538
0.33,8229,7465,3798,0.9071576133187508,0.5087742799732083
0.34,8229,7404,3774,0.8997448049580751,0.5097244732576985
0.35000000000000003,8229,7340,3746,0.8919674322517924,0.5103542234332425
0.36,8229,7275,3717,0.8840685380969742,0.5109278350515464
0.37,8229,7228,3701,0.8783570300157978,0.5120365246264527
0.38,8229,7147,3677,0.8685137926844088,0.5144816006716104
0.39,8229,7082,3657,0.8606148985295905,0.5163795537983621
0.4,8229,7019,3638,0.8529590472718435,0.5183074512038752
0.41000000000000003,8229,6948,3612,0.8443310244258112,0.5198618307426598
