threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,8229,8229,4436,1.0,0.5390691457042168
0.01,8229,8229,4436,1.0,0.5390691457042168
0.02,8229,8229,4436,1.0,0.5390691457042168
0.03,8229,8229,4436,1.0,0.5390691457042168
0.04,8229,8229,4436,1.0,0.5390691457042168
0.05,8229,8229,4436,1.0,0.5390691457042168
0.06,8229,8229,4436,1.0,0.5390691457042168
0.07,8229,8229,4436,1.0,0.5390691457042168
0.08,8229,8229,4436,1.0,0.5390691457042168
0.09,8229,8229,4436,1.0,0.5390691457042168
0.1,8229,8228,4436,0.9998784785514643,0.5391346621293145
0.11,8229,8227,4435,0.9997569571029287,0.5390786434909445
0.12,8229,8227,4435,0.9997569571029287,0.5390786434909445
0.13,8229,8226,4434,0.999635435654393,0.5390226112326769
0.14,8229,8226,4434,0.999635435654393,0.5390226112326769
0.15,8229,8225,4433,0.9995139142058573,0.5389665653495441
0.16,8229,8224,4433,0.9993923927573216,0.5390321011673151
0.17,8229,8221,4432,0.9990278284117147,0.5391071645785185
0.18,8229,8219,4432,0.9987847855146433,0.5392383501642536
0.19,8229,8218,4432,0.9986632640661076,0.5393039669019226
0.2,8229,8214,4431,0.998177178271965,0.539444850255661
0.21,8229,8210,4428,0.9976910924778223,0.5393422655298417
0.22,8229,8205,4428,0.997083485235144,0.5396709323583181
0.23,8229,8203,4427,0.9968404423380727,0.5396806046568329
0.24,8229,8201,4426,0.9965973994410013,0.5396902816729667
0.25,8229,8198,4425,0.9962328350953943,0.5397657965357404
0.26,8229,8194,4425,0.9957467493012516,0.5400292897241884
0.27,8229,8188,4424,0.9950176206100376,0.5403028822667318
0.28,8229,8182,4421,0.9942884919188236,0.5403324370569543
0.29,8229,8179,4421,0.9939239275732167,0.5405306272160411
0.3,8229,8169,4418,0.99270871308786,0.5408250703880524
0.31,8229,8164,4417,0.9921011058451816,0.5410338069573738
0.32,8229,8161,4415,0.9917365414995747,0.5409876240656782
0.33,8229,8154,4411,0.990885891359825,0.5409614912926172
0.34,8229,8149,4409,0.9902782841171467,0.5410479813474046
0.35000000000000003,8229,8140,4404,0.9891845910803256,0.5410319410319411
0.36,8229,8128,4401,0.9877263336978976,0.5414616141732284
0.37,8229,8119,4397,0.9866326406610767,0.5415691587633945
0.38,8229,8114,4396,0.9860250334183983,0.5417796401281735
0.39,8229,8108,4395,0.9852959047271843,0.5420572274296991
0.4,8229,8097,4386,0.983959168793292,0.5416821044831419
0.41000000000000003,8229,8085,4383,0.982500911410864,0.5421150278293135
0.42,8229,8082,4381,0.982136347065257,0.5420687948527593
0.43,8229,8072,4376,0.9809211325799003,0.5421209117938554
0.44,8229,8059,4370,0.9793413537489367,0.5422508996153369
0.45,8229,8046,4365,0.977761574917973,0.5425055928411633
0.46,8229,8038,4362,0.9767894033296877,0.5426723065439164
0.47000000000000003,8229,8029,4360,0.9756957102928667,0.5430315107734462
0.48,8229,8015,4353,0.9739944100133674,0.5431066749844042
0.49,8229,8003,4348,0.9725361526309394,0.5432962639010371
0.5,8229,7994,4345,0.9714424595941183,0.5435326494871153
0.51,8229,7987,4342,0.9705918094543687,0.5436334042819582
0.52,8229,7974,4335,0.969012030623405,0.5436418359668924
0.53,8229,7960,4332,0.9673107303439057,0.5442211055276381
0.54,8229,7951,4329,0.9662170373070847,0.5444598163752987
0.55,8229,7945,4326,0.9654879086158707,0.5444933920704845
0.56,8229,7936,4325,0.9643942155790497,0.5449848790322581
0.5700000000000001,8229,7927,4322,0.9633005225422288,0.5452251797653589
0.58,8229,7919,4320,0.9623283509539434,0.5455234246748327
0.59,8229,7914,4317,0.961720743711265,0.545489006823351
0.6,8229,7899,4314,0.95989792198323,0.5461450816559058
0.61,8229,7891,4309,0.9589257503949447,0.5460651374984159
0.62,8229,7874,4304,0.9568598857698384,0.5466090932181864
0.63,8229,7860,4299,0.955158585490339,0.5469465648854962
0.64,8229,7848,4294,0.953700328107911,0.5471457696228338
0.65,8229,7836,4289,0.9522420707254831,0.5473455844818785
0.66,8229,7825,4285,0.9509053347915907,0.5476038338658147
0.67,8229,7807,4283,0.9487179487179487,0.5486102215960036
0.68,8229,7791,4276,0.946773605541378,0.5488384032858427
0.6900000000000001,8229,7782,4274,0.9456799125045571,0.5492161398098175
0.7000000000000001,8229,7775,4271,0.9448292623648074,0.5493247588424437
0.71,8229,7769,4268,0.9441001336735934,0.5493628523619514
0.72,8229,7757,4264,0.9426418762911654,0.5496970478277685
0.73,8229,7746,4260,0.9413051403572731,0.5499612703330752
0.74,8229,7738,4258,0.9403329687689878,0.5502713879555441
0.75,8229,7727,4255,0.9389962328350954,0.5506664941115569
0.76,8229,7720,4254,0.9381455826953458,0.5510362694300518
0.77,8229,7708,4250,0.9366873253129178,0.5513751946030099
0.78,8229,7699,4249,0.9355936322760967,0.5518898558254319
0.79,8229,7682,4244,0.9335277676509904,0.5524602967977089
0.8,8229,7671,4239,0.932191031717098,0.5526007039499413
0.81,8229,7661,4239,0.9309758172317414,0.5533220206239394
0.8200000000000001,8229,7654,4235,0.9301251670919918,0.5533054611967598
0.8300000000000001,8229,7643,4231,0.9287884311580994,0.5535784377862096
0.84,8229,7617,4220,0.9256288734961721,0.5540238939214914
0.85,8229,7601,4215,0.9236845303196014,0.5545322983817919
0.86,8229,7584,4208,0.9216186656944951,0.5548523206751055
0.87,8229,7567,4202,0.9195528010693887,0.5553059336593101
0.88,8229,7552,4197,0.9177299793413537,0.5557468220338984
0.89,8229,7532,4183,0.9152995503706404,0.5553637812002125
0.9,8229,7513,4175,0.9129906428484628,0.555703447357913
0.91,8229,7487,4167,0.9098310851865354,0.5565647121677575
0.92,8229,7444,4154,0.9046056628995017,0.5580333154218162
0.93,8229,7417,4143,0.9013245837890388,0.5585816367803694
0.9400000000000001,8229,7366,4131,0.8951269899137198,0.5608199837089329
0.9500000000000001,8229,7322,4110,0.8897800461781504,0.5613220431576073
0.96,8229,7239,4068,0.8796937659496901,0.5619560712805636
0.97,8229,7091,3997,0.8617085915664114,0.5636722606120435
0.98,8229,6558,3675,0.7969376594969012,0.560384263494968
0.99,8229,3823,2135,0.4645764977518532,0.5584619408841224
1.0,8229,0,0,0.0,
