threshold,n_total,n_selected,n_correct,coverage,selected_accuracy
0.0,8229,8229,4044,1.0,0.4914327378782355
0.01,8229,8229,4044,1.0,0.4914327378782355
0.02,8229,8229,4044,1.0,0.4914327378782355
0.03,8229,8229,4044,1.0,0.4914327378782355
0.04,8229,8227,4043,0.9997569571029287,0.4914306551598396
0.05,8229,8227,4043,0.9997569571029287,0.4914306551598396
0.06,8229,8224,4042,0.9993923927573216,0.491488326848249
0.07,8229,8214,4038,0.998177178271965,0.49159970781592405
0.08,8229,8202,4036,0.996718920889537,0.4920751036332602
0.09,8229,8194,4033,0.9957467493012516,0.4921894068830852
0.1,8229,8183,4031,0.9944100133673593,0.49260662348771844
0.11,8229,8168,4024,0.9925871916393243,0.4926542605288932
0.12,8229,8155,4022,0.9910074128083607,0.4931943592887799
0.13,8229,8133,4015,0.988333940940576,0.49366777326939626
0.14,8229,8117,4012,0.9863895977640054,0.4942712824935321
0.15,8229,8094,4005,0.983594604447685,0.49481097108969607
0.16,8229,8066,3996,0.9801920038886863,0.4954128440366973
0.17,8229,8043,3988,0.977397010572366,0.4958348874797961
0.18,8229,8014,3977,0.9738728885648317,0.49625655103568755
0.19,8229,7968,3967,0.968282901932191,0.4978664658634538
0.2,8229,7927,3953,0.9633005225422288,0.4986754131449476
0.21,8229,7878,3933,0.957345971563981,0.4992383853769992
0.22,8229,7836,3919,0.9522420707254831,0.5001276161306789
0.23,8229,7790,3905,0.9466520840928424,0.5012836970474968
0.24,8229,7726,3892,0.9388747113865598,0.5037535594097852
0.25,8229,7674,3872,0.9325555960627051,0.5045608548345061
0.26,8229,7612,3857,0.9250212662534938,0.5066999474513926
0.27,8229,7558,3844,0.9184591080325677,0.5086001587721619
0.28,8229,7502,3819,0.9116539069145704,0.5090642495334577
0.29,8229,7440,3797,0.9041195771053591,0.5103494623655914
0.3,8229,7393,3779,0.8984080690241828,0.5111592046530502
0.31,8229,7340,3758,0.8919674322517924,0.5119891008174386
0.32,8229,7278,3733,0.8844331024425811,0.5129156361637812
0.33,8229,7203,3711,0.8753189938024061,0.5152019991670137
0.34,8229,7126,3679,0.8659618422651598,0.5162784170642717
0.35000000000000003,8229,7060,3654,0.8579414266618058,0.5175637393767706
0.36,8229,6992,3632,0.8496779681613805,0.5194508009153318
0.37,8229,6921,3606,0.8410499453153482,0.5210229735587343
0.38,8229,6842,3578,0.8314497508810305,0.5229465068693364
0.39,8229,6769,3549,0.8225786851379269,0.5243019648397105
0.4,8229,6693,3520,0.8133430550492162,0.5259226057074555
0.41000000000000003,8229,6624,3494,0.8049580751002552,0.527475845410628
