dataset,sweep,parameter_value,metric,mean,std,mean_percent,std_percent,result_files,seeds,run_root
seed,alignment_weight,0,acc,0.70490000,0.05170000,70.4900,5.1700,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0,macro-f1,0.70190000,0.05180000,70.1900,5.1800,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.2,acc,0.75430000,0.00730000,75.4300,0.7300,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.2,macro-f1,0.74820000,0.00690000,74.8200,0.6900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.4,acc,0.73940000,0.08290000,73.9400,8.2900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.4,macro-f1,0.73540000,0.08290000,73.5400,8.2900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.6,acc,0.71070000,0.04650000,71.0700,4.6500,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.6,macro-f1,0.70290000,0.04890000,70.2900,4.8900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.8,acc,0.69530000,0.04420000,69.5300,4.4200,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,alignment_weight,0.8,macro-f1,0.69090000,0.04290000,69.0900,4.2900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0,acc,0.69690000,0.04120000,69.6900,4.1200,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0,macro-f1,0.68730000,0.04520000,68.7300,4.5200,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.5,acc,0.72230000,0.02830000,72.2300,2.8300,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.5,macro-f1,0.71450000,0.03020000,71.4500,3.0200,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.7,acc,0.68460000,0.06150000,68.4600,6.1500,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.7,macro-f1,0.67820000,0.06380000,67.8200,6.3800,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.9,acc,0.69600000,0.05100000,69.6000,5.1000,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.9,macro-f1,0.68820000,0.05360000,68.8200,5.3600,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.95,acc,0.75430000,0.00730000,75.4300,0.7300,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seed,reliability_threshold,0.95,macro-f1,0.74820000,0.00690000,74.8200,0.6900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seed/20260807_174956
seediv,alignment_weight,0,acc,0.56600000,0.18190000,56.6000,18.1900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,alignment_weight,0,macro-f1,0.56580000,0.17250000,56.5800,17.2500,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
