emotion_id,emotion_name,band_id,band_name,channel_id,channel_name,relative_attribution
0,Negative,0,Delta,0,FP1,0.002341168001294136
0,Negative,0,Delta,1,FPZ,0.0010653883218765259
0,Negative,0,Delta,2,FP2,0.001356235472485423
0,Negative,0,Delta,3,AF3,0.0022403632756322622
0,Negative,0,Delta,4,AF4,0.0014470297610387206
0,Negative,0,Delta,5,F7,0.0007935880566947162
0,Negative,0,Delta,6,F5,0.0024769350420683622
0,Negative,0,Delta,7,F3,0.000556020182557404
0,Negative,0,Delta,8,F1,0.0025439239107072353
0,Negative,0,Delta,9,FZ,0.0011824718676507473
0,Negative,0,Delta,10,F2,0.002094275550916791
0,Negative,0,Delta,11,F4,0.0008991144713945687
0,Negative,0,Delta,12,F6,0.0009431429207324982
0,Negative,0,Delta,13,F8,0.0035938562359660864
0,Negative,0,Delta,14,FT7,0.002675700467079878
0,Negative,0,Delta,15,FC5,0.0015186863020062447
0,Negative,0,Delta,16,FC3,0.001317348564043641
0,Negative,0,Delta,17,FC1,0.003873552894219756
0,Negative,0,Delta,18,FCZ,0.0028065084479749203
0,Negative,0,Delta,19,FC2,0.001696377177722752
0,Negative,0,Delta,20,FC4,0.0011455387575551867
0,Negative,0,Delta,21,FC6,0.0029877698980271816
0,Negative,0,Delta,22,FT8,0.0022561619989573956
0,Negative,0,Delta,23,T7,0.0012245324905961752
0,Negative,0,Delta,24,C5,0.0010799583978950977
0,Negative,0,Delta,25,C3,0.0007524878019466996
0,Negative,0,Delta,26,C1,0.001135275699198246
0,Negative,0,Delta,27,CZ,0.00261825043708086
0,Negative,0,Delta,28,C2,0.003310256637632847
0,Negative,0,Delta,29,C4,0.0018586756195873022
0,Negative,0,Delta,30,C6,0.0022907452657818794
0,Negative,0,Delta,31,T8,0.002043599495664239
0,Negative,0,Delta,32,TP7,0.0013059702469035983
0,Negative,0,Delta,33,CP5,0.00047929183347150683
0,Negative,0,Delta,34,CP3,0.0012071996461600065
0,Negative,0,Delta,35,CP1,0.0020239369478076696
0,Negative,0,Delta,36,CPZ,0.0024806123692542315
0,Negative,0,Delta,37,CP2,0.001045780722051859
0,Negative,0,Delta,38,CP4,0.0018789302557706833
0,Negative,0,Delta,39,CP6,0.0023926340509206057
0,Negative,0,Delta,40,TP8,0.0027887728065252304
0,Negative,0,Delta,41,P7,0.002009436720982194
0,Negative,0,Delta,42,P5,0.0009076895657926798
0,Negative,0,Delta,43,P3,0.0007806519279256463
0,Negative,0,Delta,44,P1,0.002897057682275772
0,Negative,0,Delta,45,PZ,0.001432905555702746
0,Negative,0,Delta,46,P2,0.007375866640359163
0,Negative,0,Delta,47,P4,0.002112763235345483
0,Negative,0,Delta,48,P6,0.002855501836165786
0,Negative,0,Delta,49,P8,0.0009292816394008696
0,Negative,0,Delta,50,PO7,0.0004768726648762822
0,Negative,0,Delta,51,PO5,0.0010830904357135296
0,Negative,0,Delta,52,PO3,0.0011290902039036155
0,Negative,0,Delta,53,POZ,0.00089080142788589
0,Negative,0,Delta,54,PO4,0.003312822664156556
0,Negative,0,Delta,55,PO6,0.0015991742257028818
0,Negative,0,Delta,56,PO8,0.0009864780586212873
0,Negative,0,Delta,57,CB1,0.002298450330272317
0,Negative,0,Delta,58,O1,0.0013336280826479197
0,Negative,0,Delta,59,OZ,0.0037716147489845753
0,Negative,0,Delta,60,O2,0.002348555251955986
0,Negative,0,Delta,61,CB2,0.0012724908301606774
0,Negative,1,Theta,0,FP1,0.002305276459082961
0,Negative,1,Theta,1,FPZ,0.002807562006637454
0,Negative,1,Theta,2,FP2,0.0038307940121740103
0,Negative,1,Theta,3,AF3,0.004106021486222744
0,Negative,1,Theta,4,AF4,0.002859224798157811
0,Negative,1,Theta,5,F7,0.0063307397067546844
0,Negative,1,Theta,6,F5,0.0047586290165781975
0,Negative,1,Theta,7,F3,0.0021095327101647854
0,Negative,1,Theta,8,F1,0.0030445887241512537
0,Negative,1,Theta,9,FZ,0.002420026110485196
0,Negative,1,Theta,10,F2,0.0027601239271461964
0,Negative,1,Theta,11,F4,0.004148377571254969
0,Negative,1,Theta,12,F6,0.003167900489643216
0,Negative,1,Theta,13,F8,0.004929425660520792
0,Negative,1,Theta,14,FT7,0.005791650153696537
0,Negative,1,Theta,15,FC5,0.004268074873834848
