dataset,dataset_label,stage,point_index,test_sample_index,tsne_x,tsne_y,class_id,class_name,prediction,correct,test_subject_1_based
seed,SEED,raw,0,11,-6.188590049743652,9.810534477233887,2,Positive,2,1,15
seed,SEED,raw,1,18,-6.21054744720459,9.813170433044434,2,Positive,2,1,15
seed,SEED,raw,2,22,-6.232048034667969,9.796173095703125,2,Positive,2,1,15
seed,SEED,raw,3,146,-5.680984020233154,8.374703407287598,2,Positive,2,1,15
seed,SEED,raw,4,148,-5.66759729385376,8.373237609863281,2,Positive,2,1,15
seed,SEED,raw,5,161,-5.5555877685546875,8.410114288330078,2,Positive,2,1,15
seed,SEED,raw,6,217,-4.226525783538818,9.53515911102295,2,Positive,2,1,15
seed,SEED,raw,7,234,-4.201032638549805,9.555882453918457,2,Positive,2,1,15
seed,SEED,raw,8,243,-7.7627434730529785,-14.620233535766602,1,Neutral,1,1,15
seed,SEED,raw,9,248,-8.037091255187988,-14.438852310180664,1,Neutral,1,1,15
seed,SEED,raw,10,251,-7.485719680786133,-14.501699447631836,1,Neutral,1,1,15
seed,SEED,raw,11,260,-7.873096942901611,-14.080336570739746,1,Neutral,1,1,15
seed,SEED,raw,12,281,-7.092598915100098,-13.513026237487793,1,Neutral,1,1,15
seed,SEED,raw,13,287,-6.859118938446045,-13.166901588439941,1,Neutral,1,1,15
seed,SEED,raw,14,289,-7.64992618560791,-13.069272994995117,1,Neutral,1,1,15
seed,SEED,raw,15,292,-6.999892711639404,-12.911673545837402,1,Neutral,1,1,15
seed,SEED,raw,16,294,-7.49035120010376,-12.971431732177734,1,Neutral,1,1,15
seed,SEED,raw,17,350,-7.915631294250488,-12.042217254638672,1,Neutral,1,1,15
seed,SEED,raw,18,372,-7.811255931854248,-11.788229942321777,1,Neutral,1,1,15
seed,SEED,raw,19,415,-6.824947357177734,-11.26189136505127,1,Neutral,1,1,15
seed,SEED,raw,20,426,-6.881204605102539,-11.084440231323242,1,Neutral,1,1,15
seed,SEED,raw,21,451,-7.089183330535889,-10.683993339538574,1,Neutral,1,1,15
seed,SEED,raw,22,473,-9.243551254272461,2.6221916675567627,0,Negative,0,1,15
seed,SEED,raw,23,541,-9.763773918151855,3.1643006801605225,0,Negative,0,1,15
seed,SEED,raw,24,552,-10.201377868652344,3.282222032546997,0,Negative,0,1,15
seed,SEED,raw,25,553,-10.28445816040039,3.1978540420532227,0,Negative,0,1,15
seed,SEED,raw,26,567,-10.09398078918457,2.5848658084869385,0,Negative,0,1,15
seed,SEED,raw,27,583,-10.281442642211914,2.329801321029663,0,Negative,0,1,15
seed,SEED,raw,28,611,-10.776001930236816,2.2354090213775635,0,Negative,0,1,15
seed,SEED,raw,29,621,-11.081628799438477,2.622058629989624,0,Negative,0,1,15
seed,SEED,raw,30,648,-11.772534370422363,2.395530939102173,0,Negative,0,1,15
seed,SEED,raw,31,652,-11.828988075256348,2.0918233394622803,0,Negative,0,1,15
seed,SEED,raw,32,664,-12.159217834472656,2.2766411304473877,0,Negative,0,1,15
seed,SEED,raw,33,691,-10.677790641784668,-1.3145983219146729,0,Negative,0,1,15
seed,SEED,raw,34,697,-10.493145942687988,-1.306064486503601,0,Negative,0,1,15
seed,SEED,raw,35,698,-10.636672019958496,-1.5814464092254639,0,Negative,0,1,15
seed,SEED,raw,36,706,-10.46127986907959,-1.8044238090515137,0,Negative,0,1,15
seed,SEED,raw,37,726,-9.764580726623535,-1.986562728881836,0,Negative,0,1,15
seed,SEED,raw,38,755,-9.262639999389648,-2.6011884212493896,0,Negative,0,1,15
seed,SEED,raw,39,778,-8.763372421264648,-2.5556344985961914,0,Negative,0,1,15
seed,SEED,raw,40,800,-8.363901138305664,-2.3315720558166504,0,Negative,0,1,15
seed,SEED,raw,41,809,-8.515454292297363,-2.134150743484497,0,Negative,0,1,15
seed,SEED,raw,42,829,-8.66562271118164,-1.6311253309249878,0,Negative,0,1,15
seed,SEED,raw,43,850,-8.231504440307617,-1.2621910572052002,0,Negative,0,1,15
seed,SEED,raw,44,859,-8.103150367736816,-1.202219009399414,0,Negative,0,1,15
seed,SEED,raw,45,943,-2.5744967460632324,-9.975459098815918,1,Neutral,1,1,15
seed,SEED,raw,46,946,-2.5680320262908936,-9.971589088439941,1,Neutral,1,1,15
seed,SEED,raw,47,972,-2.5365519523620605,-9.860724449157715,1,Neutral,1,1,15
seed,SEED,raw,48,1033,-5.829636096954346,-7.074437618255615,1,Neutral,1,1,15
seed,SEED,raw,49,1035,-5.873784065246582,-7.060529708862305,1,Neutral,1,1,15
seed,SEED,raw,50,1041,-6.028919696807861,-7.036725997924805,1,Neutral,1,1,15
seed,SEED,raw,51,1051,-6.162747383117676,-7.055540561676025,1,Neutral,1,1,15
seed,SEED,raw,52,1103,-0.6925344467163086,12.521073341369629,2,Positive,2,1,15
seed,SEED,raw,53,1117,-0.7679598927497864,12.669528007507324,2,Positive,2,1,15
seed,SEED,raw,54,1137,-0.6823675632476807,13.163111686706543,2,Positive,2,1,15
seed,SEED,raw,55,1143,-0.7254955172538757,13.32006549835205,2,Positive,2,1,15
seed,SEED,raw,56,1161,-1.1300241947174072,13.464484214782715,2,Positive,2,1,15
seed,SEED,raw,57,1183,-1.2024874687194824,13.735631942749023,2,Positive,2,1,15
seed,SEED,raw,58,1273,-2.683976650238037,14.693329811096191,2,Positive,2,1,15
seed,SEED,raw,59,1287,-2.6925203800201416,14.669300079345703,2,Positive,2,1,15
seed,SEED,raw,60,1341,-12.417399406433105,-3.5390448570251465,0,Negative,0,1,15
seed,SEED,raw,61,1348,-12.464612007141113,-3.4511969089508057,0,Negative,0,1,15
seed,SEED,raw,62,1360,-12.55540657043457,-3.238927125930786,0,Negative,0,1,15
seed,SEED,raw,63,1382,-12.518248558044434,-2.770200490951538,0,Negative,0,1,15
seed,SEED,raw,64,1418,-12.737223625183105,-2.4953994750976562,0,Negative,0,1,15
seed,SEED,raw,65,1469,-13.788488388061523,-3.2911198139190674,0,Negative,0,1,15
seed,SEED,raw,66,1490,-14.349149703979492,-3.4929776191711426,0,Negative,0,1,15
seed,SEED,raw,67,1509,-14.750060081481934,-3.4725570678710938,0,Negative,0,1,15
seed,SEED,raw,68,1522,-14.843544960021973,-3.421741008758545,0,Negative,0,1,15
seed,SEED,raw,69,1547,-1.4876694679260254,-8.237105369567871,1,Neutral,1,1,15
seed,SEED,raw,70,1559,-1.6027851104736328,-8.092219352722168,1,Neutral,1,1,15
seed,SEED,raw,71,1564,-1.8994957208633423,-7.990080833435059,1,Neutral,1,1,15
seed,SEED,raw,72,1566,-1.9188470840454102,-7.975307464599609,1,Neutral,1,1,15
seed,SEED,raw,73,1643,-1.5742336511611938,-7.0971550941467285,1,Neutral,1,1,15
seed,SEED,raw,74,1654,-1.4179455041885376,-6.716361999511719,1,Neutral,1,1,15
seed,SEED,raw,75,1676,-0.7830440402030945,-5.53071928024292,1,Neutral,1,1,15
seed,SEED,raw,76,1684,-0.6488035917282104,-5.203000545501709,1,Neutral,1,1,15
seed,SEED,raw,77,1703,-0.08658482879400253,-4.9422125816345215,1,Neutral,1,1,15
seed,SEED,raw,78,1707,-0.5182759761810303,-4.544576168060303,1,Neutral,1,1,15
seed,SEED,raw,79,1714,0.07859692722558975,-4.664090156555176,1,Neutral,1,1,15
seed,SEED,raw,80,1719,-0.2725295424461365,-4.322116374969482,1,Neutral,1,1,15
seed,SEED,raw,81,1741,0.1450815349817276,-4.143605709075928,1,Neutral,1,1,15
seed,SEED,raw,82,1745,0.7269535660743713,16.068435668945312,2,Positive,2,1,15
seed,SEED,raw,83,1752,0.6238518357276917,15.977553367614746,2,Positive,2,1,15
seed,SEED,raw,84,1754,0.6013084650039673,15.969460487365723,2,Positive,2,1,15
seed,SEED,raw,85,1797,0.09039073437452316,17.189298629760742,2,Positive,2,1,15
seed,SEED,raw,86,1809,0.15892301499843597,17.475908279418945,2,Positive,2,1,15
seed,SEED,raw,87,1820,0.17719362676143646,17.818511962890625,2,Positive,2,1,15
seed,SEED,raw,88,1858,0.9741901755332947,17.903789520263672,2,Positive,2,1,15
seed,SEED,raw,89,1869,1.487181544303894,17.534122467041016,2,Positive,2,1,15
seed,SEED,raw,90,1870,1.5420507192611694,17.521936416625977,2,Positive,2,1,15
seed,SEED,raw,91,1888,1.6933917999267578,18.337017059326172,2,Positive,2,1,15
