variant,sample_index,split,subject,class,pc1,pc2
baseline,0,source,14,2,5.335175037384033,0.9108039140701294
baseline,1,source,14,2,5.34727144241333,0.911736011505127
baseline,2,source,14,2,5.3604960441589355,0.9132688045501709
baseline,3,source,14,2,5.374154090881348,0.9156506061553955
baseline,4,source,14,2,5.386996746063232,0.9185096025466919
baseline,5,source,14,2,5.403624057769775,0.9217852354049683
baseline,6,source,14,2,5.413301467895508,0.9225517511367798
baseline,7,source,14,2,5.420666217803955,0.9211540222167969
baseline,8,source,14,2,5.422144889831543,0.9182133674621582
baseline,9,source,14,2,5.417825698852539,0.9148762226104736
baseline,10,source,14,2,5.405398368835449,0.9090335369110107
baseline,11,source,14,2,5.3882856369018555,0.9024404287338257
baseline,12,source,14,2,5.379063606262207,0.8979552984237671
baseline,13,source,14,2,5.362756252288818,0.8913668394088745
baseline,14,source,14,2,5.343658447265625,0.8830420970916748
baseline,15,source,14,2,5.328244209289551,0.8757896423339844
baseline,16,source,14,2,5.3207292556762695,0.8726123571395874
baseline,17,source,14,2,5.311188697814941,0.872809648513794
baseline,18,source,14,2,5.305558204650879,0.8771345615386963
baseline,19,source,14,2,5.306041240692139,0.8876782655715942
baseline,20,source,14,2,5.309439659118652,0.9000424146652222
baseline,21,source,14,2,5.310189723968506,0.912365198135376
baseline,22,source,14,2,5.308597087860107,0.9238454103469849
baseline,23,source,14,2,5.304215431213379,0.9339228868484497
baseline,24,source,14,2,5.297234535217285,0.9416933059692383
baseline,25,source,14,2,5.287453651428223,0.9477592706680298
baseline,26,source,14,2,5.279690265655518,0.9553196430206299
baseline,27,source,14,2,5.268313407897949,0.9616907835006714
baseline,28,source,14,2,5.256634712219238,0.9668914079666138
baseline,29,source,14,2,5.2460808753967285,0.9712866544723511
baseline,30,source,14,2,5.239566326141357,0.9775004386901855
baseline,31,source,14,2,5.2321014404296875,0.9853863716125488
baseline,32,source,14,2,5.227602481842041,0.993097186088562
baseline,33,source,14,2,5.223822116851807,1.0013841390609741
baseline,34,source,14,2,5.226816654205322,1.0123155117034912
baseline,35,source,14,2,5.227667331695557,1.0237232446670532
baseline,36,source,14,2,5.230978012084961,1.0365495681762695
baseline,37,source,14,2,5.23121452331543,1.0490467548370361
baseline,38,source,14,2,5.228697299957275,1.0602622032165527
baseline,39,source,14,2,5.2195963859558105,1.069277048110962
baseline,40,source,14,2,5.216602802276611,1.0800752639770508
baseline,41,source,14,2,5.219043254852295,1.0927878618240356
baseline,42,source,14,2,5.221127510070801,1.1044255495071411
baseline,43,source,14,2,5.221890449523926,1.1157420873641968
baseline,44,source,14,2,5.227812767028809,1.131414771080017
baseline,45,source,14,2,5.235403060913086,1.1484571695327759
baseline,46,source,14,2,5.241668701171875,1.1667869091033936
baseline,47,source,14,2,5.252958297729492,1.1867672204971313
baseline,48,source,14,2,5.264110565185547,1.2062594890594482
baseline,49,source,14,2,5.275805950164795,1.2242064476013184
baseline,50,source,14,2,5.290517807006836,1.2415531873703003
baseline,51,source,14,2,5.302059173583984,1.2530012130737305
baseline,52,source,14,2,5.310150623321533,1.263774037361145
baseline,53,source,14,2,5.324701309204102,1.2773699760437012
baseline,54,source,14,2,5.339317321777344,1.2890082597732544
baseline,55,source,14,2,5.348027229309082,1.296966552734375
baseline,56,source,14,2,5.348620414733887,1.2991892099380493
baseline,57,source,14,2,5.348115921020508,1.2999063730239868
baseline,58,source,14,2,5.350372791290283,1.3008002042770386
baseline,59,source,14,2,5.360602378845215,1.3048828840255737
baseline,60,source,14,2,5.380072593688965,1.3117780685424805
baseline,61,source,14,2,5.406796932220459,1.3204706907272339
baseline,62,source,14,2,5.427729606628418,1.3271437883377075
baseline,63,source,14,2,5.452037811279297,1.333023190498352
baseline,64,source,14,2,5.4672627449035645,1.334405541419983
baseline,65,source,14,2,5.473832130432129,1.3331819772720337
baseline,66,source,14,2,5.479828834533691,1.3299704790115356
baseline,67,source,14,2,5.49293327331543,1.326952576637268
baseline,68,source,14,2,5.500694274902344,1.3238927125930786
baseline,69,source,14,2,5.50614595413208,1.3203743696212769
baseline,70,source,14,2,5.5171284675598145,1.317550539970398
baseline,71,source,14,2,5.5365400314331055,1.3202407360076904
baseline,72,source,14,2,5.554927349090576,1.3226631879806519
baseline,73,source,14,2,5.579960823059082,1.3280131816864014
baseline,74,source,14,2,5.5979509353637695,1.331259846687317
baseline,75,source,14,2,5.616524696350098,1.3338158130645752
baseline,76,source,14,2,5.621530055999756,1.3339389562606812
baseline,77,source,14,2,5.599826335906982,1.3248207569122314
baseline,78,source,14,2,5.563115119934082,1.3095675706863403
baseline,79,source,14,2,5.512746334075928,1.2897382974624634
baseline,80,source,14,2,5.449294090270996,1.26627516746521
baseline,81,source,14,2,5.384965896606445,1.2454166412353516
baseline,82,source,14,2,5.32976770401001,1.2262279987335205
baseline,83,source,14,2,5.282168388366699,1.2095468044281006
baseline,84,source,14,2,5.239825248718262,1.194563865661621
baseline,85,source,14,2,5.194553375244141,1.1792978048324585
baseline,86,source,14,2,5.151217937469482,1.1658645868301392
baseline,87,source,14,2,5.10435676574707,1.1526235342025757
baseline,88,source,14,2,5.056135654449463,1.139256238937378
baseline,89,source,14,2,5.00534200668335,1.126267910003662
baseline,90,source,14,2,4.956464767456055,1.1128121614456177
baseline,91,source,14,2,4.907598972320557,1.0984479188919067
baseline,92,source,14,2,4.8523478507995605,1.084375023841858
baseline,93,source,14,2,4.786331653594971,1.067915916442871
baseline,94,source,14,2,4.7172369956970215,1.049756646156311
baseline,95,source,14,2,4.651693344116211,1.0321201086044312
baseline,96,source,14,2,4.58152437210083,1.0128170251846313
baseline,97,source,14,2,4.508069038391113,0.9914660453796387
baseline,98,source,14,2,4.449527263641357,0.974819540977478
baseline,99,source,14,2,4.396599769592285,0.9620169401168823
baseline,100,source,14,2,4.345006942749023,0.9501280784606934
baseline,101,source,14,2,4.29859733581543,0.9383714199066162
baseline,102,source,14,2,4.253420829772949,0.9271955490112305
baseline,103,source,14,2,4.213658809661865,0.9187593460083008
baseline,104,source,14,2,4.166784763336182,0.9072879552841187
baseline,105,source,14,2,4.12692403793335,0.8967949151992798
baseline,106,source,14,2,4.0917534828186035,0.8872138261795044
baseline,107,source,14,2,4.062227249145508,0.8791928291320801
baseline,108,source,14,2,4.0367889404296875,0.8719092607498169
baseline,109,source,14,2,4.010229587554932,0.86488938331604
baseline,110,source,14,2,3.981234073638916,0.8573545217514038
baseline,111,source,14,2,3.956851005554199,0.8522540330886841
baseline,112,source,14,2,3.934831142425537,0.8482550382614136
baseline,113,source,14,2,3.913365602493286,0.8423784971237183
baseline,114,source,14,2,3.892178773880005,0.8348439931869507
baseline,115,source,14,2,3.865884780883789,0.8261055946350098
baseline,116,source,14,2,3.834256649017334,0.8175836801528931
baseline,117,source,14,2,3.8036046028137207,0.8087023496627808
baseline,118,source,14,2,3.7699673175811768,0.7968498468399048
baseline,119,source,14,2,3.7325780391693115,0.7828209400177002
baseline,120,source,14,2,3.6966328620910645,0.767221212387085
baseline,121,source,14,2,3.6619114875793457,0.7523733973503113
baseline,122,source,14,2,3.6307389736175537,0.7377432584762573
baseline,123,source,14,2,3.6025893688201904,0.724114179611206
baseline,124,source,14,2,3.5735785961151123,0.7120245695114136
baseline,125,source,14,2,3.5473952293395996,0.7006494998931885
baseline,126,source,14,2,3.522118330001831,0.6905221939086914
baseline,127,source,14,2,3.487058401107788,0.6783357262611389
baseline,128,source,14,2,3.450956344604492,0.6675169467926025
baseline,129,source,14,2,3.4089009761810303,0.6557232141494751
