rank,channel_a,channel_b,effective_weight,residual_from_median
1,FP1,FP2,0.00943005457520485,0.0014328593388199806
2,FC4,C4,0.009124670177698135,0.0011274749413132668
3,FPZ,FP2,0.009100664407014847,0.0011034691706299782
4,PO4,PO8,0.009070227853953838,0.0010730326175689697
5,P6,PO6,0.009067959152162075,0.0010707639157772064
6,F1,FC1,0.009047935716807842,0.0010507404804229736
7,FP1,FPZ,0.009025322273373604,0.0010281270369887352
8,P3,PO5,0.009007825516164303,0.0010106302797794342
9,F8,FC6,0.009000765159726143,0.0010035699233412743
10,FC6,P8,0.008992942981421947,0.0009957477450370789
11,CP6,P6,0.008965295739471912,0.0009681005030870438
12,FC4,FC6,0.008963736705482006,0.0009665414690971375
13,CP2,P2,0.008950388059020042,0.0009531928226351738
14,FT7,FC5,0.008943912573158741,0.0009467173367738724
15,P5,PO7,0.00894035492092371,0.0009431596845388412
16,CP3,P3,0.008937649428844452,0.0009404541924595833
17,F2,FCZ,0.00893081072717905,0.0009336154907941818
18,PO4,PO6,0.008924582041800022,0.0009273868054151535
19,P8,PO8,0.008914021775126457,0.0009168265387415886
20,C6,TP8,0.008904458954930305,0.0009072637185454369
21,F8,FC4,0.00890306569635868,0.0009058704599738121
22,T7,TP7,0.008879228495061398,0.0008820332586765289
23,PO6,O2,0.008866721764206886,0.0008695265278220177
24,PO4,CB2,0.008865573443472385,0.0008683782070875168
25,PO8,O2,0.008861163631081581,0.0008639683946967125
26,O1,OZ,0.008855868130922318,0.0008586728945374489
27,PO4,O2,0.008853573352098465,0.0008563781157135963
28,F1,F2,0.008851166814565659,0.00085397157818079
29,P5,CB1,0.008844385854899883,0.0008471906185150146
30,F6,F8,0.008837351575493813,0.0008401563391089439
31,OZ,O2,0.008829893544316292,0.0008326983079314232
32,PO3,O1,0.008828860707581043,0.0008316654711961746
33,PO6,CB2,0.008820691145956516,0.0008234959095716476
34,P4,O2,0.008820363320410252,0.000823168084025383
35,CP3,P5,0.008816016837954521,0.0008188216015696526
36,F4,F6,0.008815680630505085,0.0008184853941202164
37,FZ,FC1,0.008813855238258839,0.00081666000187397
38,P4,P6,0.008802620694041252,0.0008054254576563835
39,PO6,PO8,0.008799519389867783,0.000802324153482914
40,FC3,FC1,0.008797964081168175,0.0008007688447833061
41,PZ,P2,0.008784806355834007,0.0007876111194491386
42,PO4,OZ,0.008783530443906784,0.0007863352075219154
43,FC6,C4,0.008781631477177143,0.0007844362407922745
44,P4,PO6,0.00878013577312231,0.000782940536737442
45,PO7,O1,0.00876630749553442,0.0007691122591495514
46,T7,T8,0.008763354271650314,0.0007661590352654457
47,P6,PO4,0.008763331919908524,0.0007661366835236549
48,O2,CB2,0.008756437338888645,0.0007592421025037766
49,FT8,T8,0.008744509890675545,0.0007473146542906761
50,FPZ,FZ,0.008741376921534538,0.0007441816851496696
