channel,value
FP1,1.0220592021942139
FPZ,0.9793639779090881
FP2,0.995037853717804
AF3,0.7956118583679199
AF4,0.8245938420295715
F7,1.2708364725112915
F5,1.0276291370391846
F3,1.1043633222579956
F1,0.6984193325042725
FZ,0.5934429168701172
F2,0.7659330368041992
F4,0.5506231784820557
F6,0.8394537568092346
F8,0.9886375665664673
FT7,0.8063087463378906
FC5,0.9485490918159485
FC3,0.774261474609375
FC1,0.6344576478004456
FCZ,0.6836265325546265
FC2,0.8345672488212585
FC4,0.9681915044784546
FC6,0.7166693210601807
FT8,1.052591323852539
T7,1.4921530485153198
C5,1.0456146001815796
C3,0.7622835040092468
C1,1.0967170000076294
CZ,0.9013082981109619
C2,0.8905280232429504
C4,0.7281743288040161
C6,1.1611953973770142
T8,1.5031810998916626
TP7,1.5302507877349854
CP5,0.8657146096229553
CP3,0.6617913842201233
CP1,0.8127987384796143
CPZ,0.909085214138031
CP2,0.8447439074516296
CP4,0.9579852819442749
CP6,0.8517740964889526
TP8,1.295853614807129
P7,0.8771877288818359
P5,0.8701597452163696
P3,0.5504486560821533
P1,1.0849274396896362
PZ,0.8125532269477844
P2,0.7079455256462097
P4,0.7130380272865295
P6,0.6527754664421082
P8,0.6521678566932678
PO7,0.8976935148239136
PO5,0.6309862732887268
PO3,0.7300174236297607
POZ,0.9754388928413391
PO4,0.7100467085838318
PO6,0.6390000581741333
PO8,0.7490798234939575
CB1,0.8974804282188416
O1,0.6929205060005188
OZ,0.744152843952179
O2,0.6220130920410156
CB2,0.6631225943565369
