emotion,channel,value
Negative,FP1,0.847598135471344
Negative,FPZ,0.9512989521026611
Negative,FP2,0.8280729651451111
Negative,AF3,0.7173483967781067
Negative,AF4,0.8106541037559509
Negative,F7,1.1628206968307495
Negative,F5,0.9695944786071777
Negative,F3,1.1546095609664917
Negative,F1,0.6251910328865051
Negative,FZ,0.4952060282230377
Negative,F2,0.774333119392395
Negative,F4,0.46801406145095825
Negative,F6,0.7325639128684998
Negative,F8,0.8845792412757874
Negative,FT7,0.6603540778160095
Negative,FC5,0.823560357093811
Negative,FC3,0.7432059645652771
Negative,FC1,0.589440107345581
Negative,FCZ,0.5875234603881836
Negative,FC2,0.7939388751983643
Negative,FC4,0.9177026152610779
Negative,FC6,0.6187258958816528
Negative,FT8,0.9045595526695251
Negative,T7,1.150213599205017
Negative,C5,0.7717353701591492
Negative,C3,0.7570274472236633
Negative,C1,1.0594595670700073
Negative,CZ,0.8223143219947815
Negative,C2,0.8693186640739441
Negative,C4,0.69833904504776
Negative,C6,1.0449167490005493
Negative,T8,1.1143065690994263
Negative,TP7,1.2995504140853882
Negative,CP5,0.8516844511032104
Negative,CP3,0.5897065997123718
Negative,CP1,0.8698498010635376
Negative,CPZ,0.8352193236351013
Negative,CP2,0.8218472003936768
Negative,CP4,0.938089907169342
Negative,CP6,0.8657191395759583
Negative,TP8,1.1345243453979492
Negative,P7,0.8346474170684814
Negative,P5,0.8732776641845703
Negative,P3,0.4625440835952759
Negative,P1,1.1429190635681152
Negative,PZ,0.8154051899909973
Negative,P2,0.6911826729774475
Negative,P4,0.7011030912399292
Negative,P6,0.6012590527534485
Negative,P8,0.5335270762443542
Negative,PO7,0.8832871913909912
Negative,PO5,0.5570043325424194
Negative,PO3,0.6881537437438965
Negative,POZ,0.9692988991737366
Negative,PO4,0.647052526473999
Negative,PO6,0.572099506855011
Negative,PO8,0.6010791063308716
Negative,CB1,0.9068741798400879
Negative,O1,0.6877259612083435
Negative,OZ,0.756155252456665
Negative,O2,0.6002637147903442
Negative,CB2,0.5938817262649536
Neutral,FP1,0.9019839763641357
Neutral,FPZ,0.7531997561454773
Neutral,FP2,0.9555767178535461
Neutral,AF3,0.6407446265220642
Neutral,AF4,0.5834957361221313
Neutral,F7,1.0435643196105957
Neutral,F5,0.7831022143363953
Neutral,F3,0.7604084610939026
Neutral,F1,0.41245415806770325
Neutral,FZ,0.3871169984340668
Neutral,F2,0.48582831025123596
Neutral,F4,0.3751525580883026
Neutral,F6,0.6331961750984192
Neutral,F8,0.773933470249176
Neutral,FT7,0.5427778959274292
Neutral,FC5,0.690924882888794
Neutral,FC3,0.4645124673843384
Neutral,FC1,0.39131370186805725
Neutral,FCZ,0.4678964912891388
Neutral,FC2,0.5993313193321228
Neutral,FC4,0.6424100399017334
Neutral,FC6,0.4653586149215698
Neutral,FT8,0.7457826137542725
Neutral,T7,0.806948721408844
Neutral,C5,0.579613447189331
Neutral,C3,0.4469422698020935
Neutral,C1,0.83502596616745
Neutral,CZ,0.7111351490020752
Neutral,C2,0.6159075498580933
Neutral,C4,0.4441036581993103
Neutral,C6,0.8657586574554443
Neutral,T8,0.9489132761955261
Neutral,TP7,0.7944955825805664
Neutral,CP5,0.46550336480140686
Neutral,CP3,0.4109847843647003
Neutral,CP1,0.4803551137447357
Neutral,CPZ,0.6111171245574951
Neutral,CP2,0.5419213771820068
Neutral,CP4,0.5594261288642883
Neutral,CP6,0.4963793158531189
Neutral,TP8,0.8682038187980652
Neutral,P7,0.5989832878112793
Neutral,P5,0.46085360646247864
Neutral,P3,0.32705768942832947
Neutral,P1,0.67271488904953
Neutral,PZ,0.5371605157852173
Neutral,P2,0.4210866391658783
Neutral,P4,0.3938271105289459
Neutral,P6,0.3828302323818207
Neutral,P8,0.35200464725494385
Neutral,PO7,0.47161614894866943
Neutral,PO5,0.37894925475120544
Neutral,PO3,0.5087374448776245
Neutral,POZ,0.686721682548523
Neutral,PO4,0.43993693590164185
Neutral,PO6,0.3732443153858185
Neutral,PO8,0.4384339153766632
Neutral,CB1,0.49706777930259705
Neutral,O1,0.3999139070510864
Neutral,OZ,0.43661901354789734
Neutral,O2,0.33823126554489136
Neutral,CB2,0.44299939274787903
Positive,FP1,1.3023719787597656
Positive,FPZ,1.2196294069290161
Positive,FP2,1.1921058893203735
Positive,AF3,1.0166641473770142
Positive,AF4,1.065429449081421
Positive,F7,1.5886971950531006
Positive,F5,1.313930869102478
Positive,F3,1.38080632686615
Positive,F1,1.0383530855178833
Positive,FZ,0.882167398929596
Positive,F2,1.0221974849700928
Positive,F4,0.7952709794044495
Positive,F6,1.136405348777771
Positive,F8,1.2908371686935425
Positive,FT7,1.1946853399276733
Positive,FC5,1.3113170862197876
Positive,FC3,1.0962775945663452
Positive,FC1,0.9069799780845642
Positive,FCZ,0.9791867733001709
Positive,FC2,1.0954232215881348
Positive,FC4,1.3239336013793945
Positive,FC6,1.047560214996338
Positive,FT8,1.4837958812713623
Positive,T7,2.4660167694091797
Positive,C5,1.7475075721740723
Positive,C3,1.064874529838562
Positive,C1,1.379318118095398
Positive,CZ,1.15639066696167
Positive,C2,1.1699638366699219
Positive,C4,1.0247740745544434
Positive,C6,1.5512728691101074
Positive,T8,2.39841365814209
Positive,TP7,2.4453437328338623
Positive,CP5,1.2567824125289917
Positive,CP3,0.967456042766571
Positive,CP1,1.0718711614608765
Positive,CPZ,1.260940670967102
Positive,CP2,1.1524091958999634
Positive,CP4,1.3531030416488647
Positive,CP6,1.1737754344940186
Positive,TP8,1.8538017272949219
Positive,P7,1.1804144382476807
Positive,P5,1.253389596939087
Positive,P3,0.8453910946846008
Positive,P1,1.4183647632598877
Positive,PZ,1.0696853399276733
Positive,P2,0.9946669340133667
Positive,P4,1.0256717205047607
Positive,P6,0.9568058252334595
Positive,P8,1.0489667654037476
Positive,PO7,1.3135342597961426
Positive,PO5,0.9396350979804993
Positive,PO3,0.9788867235183716
Positive,POZ,1.2537285089492798
Positive,PO4,1.0252294540405273
Positive,PO6,0.9538063406944275
Positive,PO8,1.1838775873184204
Positive,CB1,1.2663252353668213
Positive,O1,0.9743747115135193
Positive,OZ,1.0228523015975952
Positive,O2,0.9106082916259766
Positive,CB2,0.9371111392974854
