bin_lower,bin_upper,sample_count,mean_reliability,pseudo_accuracy,selected_fraction
0.0,0.1,0,nan,nan,nan
0.1,0.2,16,0.1733843656256795,0.75,0.0
0.2,0.30000000000000004,42,0.2593858281061763,0.6190476190476191,0.0
0.30000000000000004,0.4,61,0.35983496024960376,0.4918032786885246,0.0
0.4,0.5,82,0.4485741526615329,0.5365853658536586,0.0
0.5,0.6000000000000001,91,0.5502485934194628,0.4835164835164835,0.0
0.6000000000000001,0.7000000000000001,242,0.6487215028321447,0.6652892561983471,0.0
0.7000000000000001,0.8,150,0.7499318857987721,0.42,0.0
0.8,0.9,753,0.8690219802527155,0.747675962815405,0.0
0.9,1.0,8745,0.9917528680421884,0.738822184105203,0.9455688965122927
