sample_index,subject,true_class,pseudo_class,reliability,selected,pseudo_correct,selected_error,before_pc1,before_pc2,after_pc1,after_pc2
0,13,2,2,0.9999485611915588,1,1,0,-0.020978480577468872,0.006038688123226166,-1.0156396627426147,0.24285420775413513
1,13,2,2,0.999948263168335,1,1,0,-0.0212375670671463,0.004852354526519775,-1.0168044567108154,0.2409650683403015
2,13,2,2,0.9999479651451111,1,1,0,-0.02156917005777359,0.003370620310306549,-1.0192404985427856,0.2360094040632248
3,13,2,2,0.9999455213546753,1,1,0,-0.02216997742652893,0.002047218382358551,-1.0285271406173706,0.20847466588020325
4,13,2,2,0.9999448657035828,1,1,0,-0.023478597402572632,-0.00020454078912734985,-1.0305469036102295,0.2035093903541565
5,13,2,2,0.9999443888664246,1,1,0,-0.025395579636096954,-0.0031273290514945984,-1.0312522649765015,0.20127873122692108
6,13,2,2,0.9999434351921082,1,1,0,-0.026273667812347412,-0.006341725587844849,-1.0318453311920166,0.1989404559135437
7,13,2,2,0.9999421238899231,1,1,0,-0.026685543358325958,-0.009667664766311646,-1.0324139595031738,0.19610624015331268
8,13,2,2,0.9999404549598694,1,1,0,-0.025886043906211853,-0.011683866381645203,-1.0330137014389038,0.19287502765655518
9,13,2,2,0.9999384880065918,1,1,0,-0.025293953716754913,-0.013160936534404755,-1.0336863994598389,0.18858647346496582
10,13,2,2,0.9999362230300903,1,1,0,-0.024286985397338867,-0.014555558562278748,-1.034315824508667,0.18367376923561096
11,13,2,2,0.9999268651008606,1,1,0,-0.023530885577201843,-0.014856025576591492,-1.0351474285125732,0.17735037207603455
12,13,2,2,0.9999077320098877,1,1,0,-0.022685810923576355,-0.015142485499382019,-1.0361130237579346,0.16749940812587738
13,13,2,2,0.999907910823822,1,1,0,-0.02224729210138321,-0.015168674290180206,-1.0367354154586792,0.15781725943088531
14,13,2,2,0.9999068975448608,1,1,0,-0.021869823336601257,-0.014271661639213562,-1.0337506532669067,0.15184596180915833
