variant,display_name,fit,best_epoch,threshold,target_accuracy_subject_mean,target_accuracy_subject_std,target_macro_f1_subject_mean,target_macro_f1_subject_std,test_accuracy_subject_mean,test_accuracy_subject_std,test_macro_f1_subject_mean,test_macro_f1_subject_std,test_macro_f1_delta_vs_baseline,target_pseudo_accuracy_all,target_selected_pseudo_accuracy,target_coverage,target_selected_count,target_count
baseline,DMS-SGPAN,1,82,0.95,0.727656648988411,0.12579342349546893,0.7326804595509531,0.11741285425970469,0.6642113533686899,0.04103074632614502,0.6489052711877951,0.04172642417658141,0.0,0.7271655863288156,0.7363647357600677,0.8121194264388136,8269,10182
standard_norm,Standard norm.,0,42,0.95,0.603908858770379,0.19806636023751806,0.5474256076217716,0.2721882921102566,0.4385189550186604,0.10689954755547776,0.3003176788761985,0.13497943021703415,-0.3485875923115966,0.6040070713022981,0.6196717817561808,0.9216263995285798,9384,10182
no_spectral,w/o spectral,0,19,0.95,0.7046749165193478,0.09903573680121448,0.675760221742867,0.13534217129213513,0.6116676487919858,0.08317586799392802,0.6084976698611152,0.07891243405038922,-0.040407601326679865,0.7046749165193479,0.7107454600180596,0.9788843056373994,9967,10182
no_graph,w/o graph,0,24,0.95,0.7477902180318209,0.13254260592151493,0.731793172179034,0.15404866147976393,0.6777646827735219,0.057124920488501825,0.6627550953509916,0.06724750383852464,0.013849824163196578,0.7485759182871734,0.7557986427630913,0.9696523276370065,9873,10182
no_gcl,w/o GCL,0,71,0.95,0.7466116676487919,0.15544043781238467,0.7168685364509518,0.19562643012473357,0.6249263406010607,0.02282760114063212,0.6224232400011199,0.027003612606088415,-0.026482031186675137,0.7472009428403065,0.7580008312551954,0.9451974071891573,9624,10182
no_disentangle,w/o disentangle,0,16,0.95,0.7376743272441564,0.058687555673851526,0.7322171514625974,0.06594765603792066,0.6658809664113141,0.025253037521763236,0.6617095824499072,0.021239163864596945,0.012804311262112122,0.7186210960518562,0.8982779335202242,0.24523669220192496,2497,10182
no_subject,w/o subject loss,0,23,0.95,0.7451384796700059,0.0918299252980107,0.744778468267187,0.09046394601532882,0.7071302298173247,0.07606026401110683,0.6863214109161845,0.09112749594896256,0.03741613972838942,0.7461206049891966,0.7704296545914069,0.932626203103516,9496,10182
no_orth,w/o orthogonal loss,0,58,0.95,0.723629935179729,0.10463354997754998,0.6841155357867414,0.15943420050349835,0.6600864270280888,0.05389658214796208,0.6615074987060682,0.05644734248004086,0.012602227518273112,0.7235317226478098,0.7436083974225732,0.9450009821253192,9622,10182
no_prototype,w/o prototype,0,100,0.95,0.7424867413081909,0.09011897587310322,0.7244561017822368,0.10640745883419252,0.6366136318994303,0.05054521098864829,0.6253832625664132,0.05022675737040669,-0.023522008621381874,0.7402278530740523,0.7833481406269831,0.7738165389903752,7879,10182
classifier_pseudo,classifier pseudo,0,16,0.95,0.7192103712433706,0.14292464544107122,0.7173482958313825,0.14460535115503984,0.653702612453349,0.08051978253241247,0.6558219516242199,0.07732952866177853,0.006916680436424794,0.7192103712433706,0.7525822153626974,0.8272441563543508,8423,10182
threshold_zero,$\tau=0$,1,23,0.0,0.7380671773718327,0.11044155331382896,0.7261683650051306,0.12461885550441876,0.6163818503241013,0.05521658429244226,0.6063322292161213,0.060613300439890064,-0.042573041971673775,0.7374779021803182,0.7374779021803182,1.0,10182,10182
