sample_index,subject,true_class,pseudo_class,reliability,selected,pseudo_correct,selected_error,before_pc1,before_pc2,after_pc1,after_pc2
0,13,2,2,0.9999003410339355,1,1,0,0.011379994451999664,-0.017836637794971466,0.4264918565750122,-0.7829930186271667
1,13,2,2,0.9999003410339355,1,1,0,0.010367359966039658,-0.018386419862508774,0.4264911711215973,-0.7829878926277161
2,13,2,2,0.999900221824646,1,1,0,0.009097222238779068,-0.019084211438894272,0.42649027705192566,-0.7829782366752625
3,13,2,2,0.999900221824646,1,1,0,0.008030388504266739,-0.020017892122268677,0.4264912009239197,-0.7829669117927551
4,13,2,2,0.999900221824646,1,1,0,0.006265163421630859,-0.021904341876506805,0.42649269104003906,-0.782952070236206
5,13,2,2,0.999900221824646,1,1,0,0.003999479115009308,-0.024585500359535217,0.4264960289001465,-0.7829380035400391
6,13,2,2,0.999900221824646,1,1,0,0.0011436119675636292,-0.026355944573879242,0.42650020122528076,-0.7829231023788452
7,13,2,2,0.999900221824646,1,1,0,-0.001957658678293228,-0.027704227715730667,0.4265036880970001,-0.7829089164733887
8,13,2,2,0.999900221824646,1,1,0,-0.004180114716291428,-0.027538489550352097,0.426508367061615,-0.7828954458236694
9,13,2,2,0.9999001622200012,1,1,0,-0.005840186029672623,-0.027422677725553513,0.42651301622390747,-0.7828784584999084
10,13,2,2,0.999900221824646,1,1,0,-0.007534496486186981,-0.026871483772993088,0.42651769518852234,-0.7828619480133057
11,13,2,2,0.9999001622200012,1,1,0,-0.008100222796201706,-0.026264794170856476,0.4265197217464447,-0.7828464508056641
12,13,2,2,0.9999001622200012,1,1,0,-0.008658681064844131,-0.025552526116371155,0.42651891708374023,-0.7828332185745239
13,13,2,2,0.9999001622200012,1,1,0,-0.00884656235575676,-0.025149960070848465,0.42652079463005066,-0.7828186750411987
14,13,2,2,0.9999001622200012,1,1,0,-0.008128136396408081,-0.024555139243602753,0.4265246093273163,-0.7827996015548706
15,13,2,2,0.9999002814292908,1,1,0,-0.006841402500867844,-0.0241534523665905,0.4265288710594177,-0.782783567905426
16,13,2,2,0.9999002814292908,1,1,0,-0.0046846866607666016,-0.024543963372707367,0.42653119564056396,-0.7827690839767456
17,13,2,2,0.9999001622200012,1,1,0,-0.0022896863520145416,-0.024931345134973526,0.4265352785587311,-0.7827551960945129
18,13,2,2,0.999900221824646,1,1,0,-0.0005451999604701996,-0.025503840297460556,0.4265410602092743,-0.7827430367469788
19,13,2,2,0.9999001026153564,1,1,0,0.00023426860570907593,-0.02574709802865982,0.4265463650226593,-0.782733142375946
20,13,2,2,0.999900221824646,1,1,0,9.304657578468323e-05,-0.02510092779994011,0.42655158042907715,-0.7827264666557312
21,13,2,2,0.9999001622200012,1,1,0,-0.0005142427980899811,-0.0244591124355793,0.42655378580093384,-0.7827298641204834
22,13,2,2,0.9999001622200012,1,1,0,-0.0018021874129772186,-0.023086965084075928,0.42655473947525024,-0.782743513584137
23,13,2,2,0.9999001622200012,1,1,0,-0.003173261880874634,-0.022076211869716644,0.42655616998672485,-0.7827569246292114
24,13,2,2,0.9999001622200012,1,1,0,-0.004593547433614731,-0.02106408029794693,0.42655864357948303,-0.782768189907074
25,13,2,2,0.9999001622200012,1,1,0,-0.005404725670814514,-0.02043742686510086,0.42656198143959045,-0.7827824354171753
26,13,2,2,0.9999001622200012,1,1,0,-0.005386438220739365,-0.0196971632540226,0.4265642464160919,-0.7828019261360168
27,13,2,2,0.9999001622200012,1,1,0,-0.00595363974571228,-0.01800594851374626,0.42656654119491577,-0.7828211188316345
28,13,2,2,0.9999001622200012,1,1,0,-0.006241731345653534,-0.016691546887159348,0.4265681803226471,-0.7828461527824402
29,13,2,2,0.999900221824646,1,1,0,-0.005273539572954178,-0.01595308631658554,0.4265691637992859,-0.7828730940818787
30,13,2,2,0.9999003410339355,1,1,0,-0.003927137702703476,-0.015764549374580383,0.4265689551830292,-0.7829006314277649
31,13,2,2,0.999900221824646,1,1,0,-0.00293722003698349,-0.014992717653512955,0.4265698492527008,-0.7829264998435974
32,13,2,2,0.999900221824646,1,1,0,-0.003417171537876129,-0.014684546738862991,0.4265698194503784,-0.7829475402832031
33,13,2,2,0.9999003410339355,1,1,0,-0.0027066804468631744,-0.01487424224615097,0.4265729784965515,-0.7829682230949402
34,13,2,2,0.9999003410339355,1,1,0,-0.0026055648922920227,-0.014174368232488632,0.42657470703125,-0.7829911708831787
35,13,2,2,0.999900221824646,1,1,0,-0.0026630498468875885,-0.013540469110012054,0.4265759587287903,-0.7830130457878113
36,13,2,2,0.999900221824646,1,1,0,-0.0031047016382217407,-0.01313435286283493,0.4265749156475067,-0.7830379605293274
37,13,2,2,0.9999002814292908,1,1,0,-0.0026255622506141663,-0.012923534959554672,0.42657387256622314,-0.7830589413642883
38,13,2,2,0.9999002814292908,1,1,0,-0.002335846424102783,-0.011854000389575958,0.4265700876712799,-0.7830823659896851
39,13,2,2,0.9999004006385803,1,1,0,-0.001331046223640442,-0.011543214321136475,0.4265647828578949,-0.7831079363822937
40,13,2,2,0.9999002814292908,1,1,0,0.0009044148027896881,-0.01206113025546074,0.42655953764915466,-0.7831305861473083
41,13,2,2,0.9999004006385803,1,1,0,0.0034805648028850555,-0.012712527066469193,0.42655327916145325,-0.7831522822380066
42,13,2,2,0.9999002814292908,1,1,0,0.006972283124923706,-0.012780517339706421,0.4265483617782593,-0.7831767201423645
43,13,2,2,0.9999004006385803,1,1,0,0.010858312249183655,-0.014076810330152512,0.42654305696487427,-0.783204972743988
44,13,2,2,0.9999002814292908,1,1,0,0.015296559780836105,-0.01625831425189972,0.4265379309654236,-0.783230185508728
45,13,2,2,0.9999002814292908,1,1,0,0.01939351111650467,-0.018056195229291916,0.4265318810939789,-0.783251941204071
46,13,2,2,0.9999004602432251,1,1,0,0.02267291396856308,-0.019505079835653305,0.42652755975723267,-0.7832707166671753
47,13,2,2,0.9999002814292908,1,1,0,0.026281222701072693,-0.021929144859313965,0.4265247881412506,-0.7832847237586975
48,13,2,2,0.9999002814292908,1,1,0,0.029523693025112152,-0.024845488369464874,0.42652198672294617,-0.7832920551300049
49,13,2,2,0.9999002814292908,1,1,0,0.03344700485467911,-0.02748177945613861,0.42651933431625366,-0.7832968831062317
50,13,2,2,0.9999002814292908,1,1,0,0.03801203519105911,-0.029809366911649704,0.4265165627002716,-0.7833024263381958
51,13,2,2,0.9999004602432251,1,1,0,0.04231724888086319,-0.030512195080518723,0.4265138804912567,-0.7833040356636047
52,13,2,2,0.9999002814292908,1,1,0,0.04513820260763168,-0.03181678056716919,0.42650675773620605,-0.7832972407341003
53,13,2,2,0.9999002814292908,1,1,0,0.04867880046367645,-0.03258945047855377,0.4265001118183136,-0.7832854390144348
54,13,2,2,0.9999004006385803,1,1,0,0.053078144788742065,-0.033241480588912964,0.4264955222606659,-0.7832783460617065
55,13,2,2,0.9999004006385803,1,1,0,0.057633765041828156,-0.033588796854019165,0.426491916179657,-0.7832655310630798
56,13,2,2,0.9999002814292908,1,1,0,0.06188385188579559,-0.034666888415813446,0.42648962140083313,-0.7832528352737427
57,13,2,2,0.9999002814292908,1,1,0,0.0655217096209526,-0.03605099767446518,0.4264867603778839,-0.7832428812980652
58,13,2,2,0.9999002814292908,1,1,0,0.06842973083257675,-0.03769814223051071,0.4264833927154541,-0.7832324504852295
59,13,2,2,0.999900221824646,1,1,0,0.07042812556028366,-0.037064701318740845,0.4264824092388153,-0.7832233309745789
60,13,2,2,0.999900221824646,1,1,0,0.07234174013137817,-0.0367337241768837,0.4264811873435974,-0.7832129001617432
61,13,2,2,0.9999004006385803,1,1,0,0.07293315976858139,-0.03513031452894211,0.42647984623908997,-0.7832019925117493
62,13,2,2,0.9999003410339355,1,1,0,0.07574274390935898,-0.03354997932910919,0.42647963762283325,-0.7831924557685852
63,13,2,2,0.999900221824646,1,1,0,0.08113841712474823,-0.03127627074718475,0.4264814853668213,-0.7831869721412659
64,13,2,2,0.999900221824646,1,1,0,0.08697788417339325,-0.029199112206697464,0.42648372054100037,-0.7831839323043823
65,13,2,2,0.999900221824646,1,1,0,0.09290522336959839,-0.028649508953094482,0.42648693919181824,-0.7831812500953674
66,13,2,2,0.999900221824646,1,1,0,0.09580253064632416,-0.02663194015622139,0.42649149894714355,-0.783178985118866
67,13,2,2,0.999900221824646,1,1,0,0.09695036709308624,-0.025228966027498245,0.4264957904815674,-0.783176839351654
68,13,2,2,0.999900221824646,1,1,0,0.09703092277050018,-0.023478925228118896,0.4265006184577942,-0.783174991607666
69,13,2,2,0.999900221824646,1,1,0,0.09557618200778961,-0.021484743803739548,0.4265037477016449,-0.7831805348396301
70,13,2,2,0.999900221824646,1,1,0,0.09211181104183197,-0.01925799623131752,0.4265047013759613,-0.7831844091415405
71,13,2,2,0.999900221824646,1,1,0,0.09034444391727448,-0.016967520117759705,0.4265064299106598,-0.783186137676239
72,13,2,2,0.999900221824646,1,1,0,0.08886279165744781,-0.01393359899520874,0.4265078604221344,-0.7831847667694092
73,13,2,2,0.999900221824646,1,1,0,0.08757564425468445,-0.011262759566307068,0.42650848627090454,-0.7831841707229614
74,13,2,2,0.999900221824646,1,1,0,0.08773213624954224,-0.0078495554625988,0.4265086352825165,-0.7831844687461853
75,13,2,2,0.999900221824646,1,1,0,0.08722883462905884,-0.003359232097864151,0.42650851607322693,-0.7831857800483704
76,13,2,2,0.999900221824646,1,1,0,0.08809950947761536,-0.0002343989908695221,0.4265079200267792,-0.78318190574646
77,13,2,2,0.999900221824646,1,1,0,0.08744199573993683,0.00043378397822380066,0.42651134729385376,-0.7831758260726929
78,13,2,2,0.999900221824646,1,1,0,0.0863124430179596,0.000202082097530365,0.4265165328979492,-0.7831706404685974
79,13,2,2,0.999900221824646,1,1,0,0.08467987179756165,-0.0017621330916881561,0.4265226721763611,-0.7831682562828064
80,13,2,2,0.9999001622200012,1,1,0,0.08313798904418945,-0.004292044788599014,0.42653027176856995,-0.7831668257713318
81,13,2,2,0.9999001622200012,1,1,0,0.08111897110939026,-0.008186377584934235,0.42653852701187134,-0.7831702828407288
82,13,2,2,0.9999001622200012,1,1,0,0.07962561398744583,-0.011135168373584747,0.4265473783016205,-0.7831712961196899
83,13,2,2,0.9999002814292908,1,1,0,0.08000096678733826,-0.016524363309144974,0.42655882239341736,-0.7831726670265198
84,13,2,2,0.9999002814292908,1,1,0,0.08036491274833679,-0.020889509469270706,0.4265689551830292,-0.7831761240959167
85,13,2,2,0.9999001622200012,1,1,0,0.08072912693023682,-0.025300685316324234,0.42658132314682007,-0.783180296421051
86,13,2,2,0.9999001622200012,1,1,0,0.08123655617237091,-0.027984991669654846,0.42659226059913635,-0.7831875085830688
87,13,2,2,0.9999002814292908,1,1,0,0.08035992085933685,-0.027601271867752075,0.4265991747379303,-0.7831963896751404
88,13,2,2,0.9999001622200012,1,1,0,0.0765199288725853,-0.025030415505170822,0.4266040325164795,-0.7832067012786865
89,13,2,2,0.9999001622200012,1,1,0,0.07241003215312958,-0.02150694653391838,0.42660871148109436,-0.7832205295562744
90,13,2,2,0.9999001622200012,1,1,0,0.06619124859571457,-0.01764744147658348,0.426611065864563,-0.7832356095314026
91,13,2,2,0.9999001622200012,1,1,0,0.06050429493188858,-0.01470654085278511,0.4266139268875122,-0.7832494974136353
92,13,2,2,0.9999001622200012,1,1,0,0.05557355284690857,-0.010873336344957352,0.42661252617836,-0.7832657694816589
93,13,2,2,0.9999001622200012,1,1,0,0.050578773021698,-0.007499478757381439,0.42661044001579285,-0.7832838892936707
94,13,2,2,0.9999001622200012,1,1,0,0.045239873230457306,-0.0039979517459869385,0.4266057312488556,-0.7833037972450256
95,13,2,2,0.9999001622200012,1,1,0,0.040786437690258026,-0.0011195950210094452,0.42659851908683777,-0.7833219170570374
96,13,2,2,0.9999001622200012,1,1,0,0.036917686462402344,0.00035879947245121,0.4265897274017334,-0.7833353281021118
97,13,2,2,0.999900221824646,1,1,0,0.03239765018224716,0.0036417394876480103,0.42658114433288574,-0.7833457589149475
98,13,2,2,0.999900221824646,1,1,0,0.029164887964725494,0.0075023118406534195,0.42657408118247986,-0.7833552360534668
99,13,2,2,0.9999001622200012,1,1,0,0.02700348198413849,0.012167105451226234,0.42656654119491577,-0.783365786075592
100,13,2,2,0.9999001622200012,1,1,0,0.023640036582946777,0.017278295010328293,0.4265579581260681,-0.7833799719810486
101,13,2,2,0.999900221824646,1,1,0,0.02019953727722168,0.019774233922362328,0.4265553951263428,-0.7833865880966187
102,13,2,2,0.9999001622200012,1,1,0,0.017802022397518158,0.021959515288472176,0.4265521466732025,-0.7833949327468872
103,13,2,2,0.9999001622200012,1,1,0,0.016040805727243423,0.02388596348464489,0.42654916644096375,-0.7834051251411438
104,13,2,2,0.9999001622200012,1,1,0,0.012710034847259521,0.025115184485912323,0.4265504479408264,-0.7834094762802124
105,13,2,2,0.9999001622200012,1,1,0,0.008363235741853714,0.02474469505250454,0.42655596137046814,-0.7834062576293945
106,13,2,2,0.9999001622200012,1,1,0,0.005015004426240921,0.023627454414963722,0.42655909061431885,-0.7834113240242004
107,13,2,2,0.9999001622200012,1,1,0,0.0022798292338848114,0.022602882236242294,0.4265657365322113,-0.7834156155586243
108,13,2,2,0.9999001622200012,1,1,0,-0.0006077587604522705,0.0222722589969635,0.42657747864723206,-0.7834224104881287
109,13,2,2,0.9999001622200012,1,1,0,-0.0019535422325134277,0.021701917052268982,0.42659062147140503,-0.7834335565567017
110,13,2,2,0.999900221824646,1,1,0,-0.003151301294565201,0.020578347146511078,0.4266025722026825,-0.7834447622299194
111,13,2,2,0.999900221824646,1,1,0,-0.002166055142879486,0.019036225974559784,0.4266141355037689,-0.7834544777870178
